lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
tavle	NN	2012	2012-2019	2012-2019_tavle_888		Flere av de falne på denne tavlen omkom i krigshandlinger på havet, og ble aldri funnet. Dermed ble minnetavla også oppfattet som det naermeste man kommer et gravsted.	27:33	0:166	15354	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_30		En tavle koster fra 2600 kroner, avhengig av størrelse.	3:8	0:55	15346	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_50		For impulsprøvespenning nyttes i nevnte publikasjon 'List 2' for anlegg som ikke har automatisk utkobling vedjordfeil; for øvrige anlegg nyttes 'List I '. 4 Dersom Elektrisitetstilsynet finner det nødvendig, skal tavler besiktiges under fabrikasjon og prøving. 5	213:219	0:262	15342	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_83		Vi har hatt barn her som har begått seksuelle handlinger i klasserommet sitt, med hele klassen og frøken til stede. Spesialiteten var å lokke medelever med seg bak ei tavle og suge dem der. Når vi sitter ved spisebordet, kan det skje ting under bordet, ved hjelp av ben eller føtter, forteller Kandell. Barna her får ikke lov å vaere alene sammen i et rom, men to barn i hvert sitt tilstøtende rom kan også innebaere en risiko:	167:172	0:425	15360	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_106		Også på Királybadet er innholdet av mineral listet opp på en tavle på veggen. Király er det best bevarte av de tyrkiske badene, men har ikke blitt utsatt for omfattende restaurering, slik Gellért har. Rett nok ble kuppelen ødelagt av bomber under 2. verdenskrigen og bygget opp igjen etterpå.	61:66	0:292	15361	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_97		Foto: FOTO: ROBERT S. EIK/VG På en tavle hadde politiet i den thailandske byen Phuket samlet bildebevisene i saken da de inviterte pressen for en gjennomgang av saken mot Dokset som er siktet for å ha tatt livet av Runganapa Rachsombat (33) i 2009.	35:40	0:248	15356	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_102		- Opplegget er enkelt: Menyen er skriblet ned på en hvit tavle rett ved inngangen, og den består i hovedsak av dagens fangst, sier Putkowski.	57:62	0:141	15347	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_818		Da trodde man definitivt at kampen var over, men tidligere Odd-spiller Herolind Shala skulle sette nervene hos hjemmepublikumet i helspenn igjen. Naermest på egenhånd kjempet han inn nok ei redusering, og det sto 3-2 på tavla med to minutter igjen. - Alt går inn her nå, smalt det far Eurosport-kommentator Asbjørn Myhre. Keeper Deumeland ble med opp på en siste corner i jakten på utligning, men Vålerenga evnet å holde unna.	219:224	0:425	15362	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_1		En flyttbar tavle bør vaere lett tilgjengelig i kroppsøvingssalen, det samme gjelder anatomiske plansjer.	12:17	0:104	15350	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_42		Bry- terutstyret eller sikringene i tilførselskursen til tavlen kan brukes for fraskillingen.	57:63	0:93	15352	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_26		For øvrig skal utførelsen minst tilfredsstille kravene til kapsling IP 20, dog kan i saerlige tilfelle tillates tavlefelt med åpen bakside for spenninger opp til og med 500 V. For tavler med beskyttelsesgrad IP 20 eller lavere, skal topp- (NVE-1990-FEA-M) låten rekke minst 5 cm utenfor på alle sider.	179:185	0:300	15355	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_29		Skilleveggene skai vaere slik utført at lysbuer ikke forplanter seg i anlegget. (NVE-1990-FEA-M) Tavler skal vaere slik utført at skade ved en lysbuekortslutning blir minst mulig og slik at en feil ikke skal kunne sette hele tavlen ut av funksjon.	223:229	0:245	15344	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_37		Om bord i skip og flyttbare innretninger skal, når dette er krevet av sjøfartsmyndigheten, lanterner mv. vaere tilknyttet egen tavle (lanternekontrolltavle).	126:131	0:156	15345	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_328		Vi håper den nye app'en senker terskelen ytterligere for å benytte kollektivtilbudene, sier Tom-Christer Nilsen. Flere holdeplasser har det siste året fått tavler med sanntidsinformasjon.	156:162	0:187	15359	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_77		Allikevel snakket hun til ham; fordi han var den eneste levende der inne, og fordi menneskene enkelte stunder i livet må si noe. «Jeg skjønner ikke,» sa hun — «men det lot seg som de ikke kunne like tavlen der inne.» «Nei, de kunne visst ikke det,» svarte Far Kristen fnisende.	199:205	0:277	15341	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_10		Ved tavler som er delt opp i felter, skal de enkelte felt ha merking som angir hvilke deler av anlegget de hører til. Når det er tavlefelt med forskjellige spenninger, skal spenningene vaere angitt. Tavleskap, motorstartere m.v. skal ha tilsvarende merking i den utstrekning dette er nødvendig for betjeningen. (NVE-1990-FEA-M) Sikringer og bryterutstyr	4:10	0:352	15357	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_858		Prikkene på tavlen viser hvor mange babyer jordmødrene på Ahus har tatt imot – rosa for jenter og blå for gutter.	12:18	0:113	15348	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_365		Da dommer Tommy Skjerven blåste for full tid viste tavla fortsatt 0-0. Et resultat Haugesund kanskje på forhånd kunne vaert fornøyd med, men heller ikke gjestene kunne juble høylytt over innsatsen.	51:56	0:196	15349	nor_dia_change_subset2	no	andrey
tavle	NN	2012	2012-2019	2012-2019_tavle_194		I resepsjonen på kommunehuset ligger en brosjyre med den befalende tittelen: «Flytt heim til Tysnes.» Essensen i budskapet er at det går fint an å kombinere hus på Tysnes med jobb i Nordsjøen. Det høres nesten litt desperat ut. Ma-Ka Kafé har glimrende rekesmørbrød, og en fin tekst på tavlen bak disken. «De fleste av livets skygger skyldes at vi selv står i veien for vårt eget solskinn», står det.	286:292	0:400	15351	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_23		Hovedtavlen skal vaere plassert slik i forhold til hovedgeneratorene at, såvidt mulig, opprettholdelsen av normal elektrisk kraftforsyning bare kan bli satt i fare ved brann eller annet uhell i ett rom. En miljømessig innbygging av hovedtavlen f. eks. i et maskin kontrollrom plassert innenfor vedkommende maskinroms hovedavgrensninger, anses i denne sammenheng ikke å skille tavlen fra generatorene.	5:11	0:399	15358	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_17		Hvis en tavle er avhengig av hjelpekraft skal det vaere minst to uavhengige systemer, arrangert slik at ved feil i ett system — ikke mer enn 50% av den strømforsyningskapasitet som kreves etter § 1404 utilsiktet blir satt ut av drift, og — tilførslene til to dublerte viktige forbrukere ikke utilsiktet blir satt ut av drift samtidig. Hvis samleskinnene kan oppdeles (se § 1 60 1 .2) skal det vaere minst et uavhengig system for hver seksjon. (NVE-1990-FEA-M) For hvert system skal det vanligvis vaere lagret energi for minst to operasjoner av samtlige brytere tilknyttet systemet. Veiledning:	8:13	0:590	15343	nor_dia_change_subset2	no	andrey
tavle	NN	1980	1980-1990	1980-1990_tavle_2		Velstyret sørget for å ta ned tavla inntil maling igjen kunne skaffes.	30:35	0:70	15353	nor_dia_change_subset2	no	andrey
