identifier1	identifier2	annotator	judgment	comment	lemma
13300	13304	alexandra_w	1	comment	katt
13300	13290	alexandra_w	2	comment	katt
13300	13303	alexandra_w	2	comment	katt
13300	13291	HelleBol	1	comment	katt
13300	13301	alexandra_w	1	comment	katt
13300	13292	titare	1	comment	katt
13300	13305	alexandra_w	3	comment	katt
13300	13293	titare	1	comment	katt
13300	13292	HelleBol	1	comment	katt
13300	13307	HelleBol	1	comment	katt
13300	13307	alexandra_w	1	comment	katt
13300	13297	alexandra_w	3	comment	katt
13300	13290	titare	1	comment	katt
13300	13295	HelleBol	1	comment	katt
13300	13303	HelleBol	1	comment	katt
13300	13301	HelleBol	1	comment	katt
13300	13290	HelleBol	1	comment	katt
13300	13304	HelleBol	1	comment	katt
13300	13302	titare	1	comment	katt
13297	13295	alexandra_w	4	comment	katt
13297	13293	HelleBol	4	comment	katt
13297	13298	titare	0	comment	katt
13297	13299	HelleBol	1	comment	katt
13297	13305	HelleBol	4	comment	katt
13297	13299	titare	1	comment	katt
13297	13293	alexandra_w	3	comment	katt
13297	13295	titare	4	comment	katt
13297	13308	HelleBol	1	comment	katt
13297	13302	alexandra_w	4	comment	katt
13297	13306	titare	4	comment	katt
13297	13291	alexandra_w	4	comment	katt
13297	13307	titare	1	comment	katt
13297	13303	titare	2	comment	katt
13297	13303	HelleBol	4	comment	katt
13297	13290	titare	4	comment	katt
13297	13306	HelleBol	4	comment	katt
13297	13292	titare	4	comment	katt
13291	13295	titare	4	comment	katt
13291	13307	HelleBol	1	comment	katt
13291	13308	alexandra_w	1	comment	katt
13291	13298	titare	0	comment	katt
13291	13303	alexandra_w	4	comment	katt
13291	13295	HelleBol	4	comment	katt
13291	13306	HelleBol	4	comment	katt
13291	13290	titare	4	comment	katt
13291	13290	alexandra_w	4	comment	katt
13291	13305	HelleBol	4	comment	katt
13291	13296	alexandra_w	4	comment	katt
13291	13308	titare	1	comment	katt
13291	13293	alexandra_w	4	comment	katt
13291	13306	titare	4	comment	katt
13291	13307	alexandra_w	1	comment	katt
13291	13294	alexandra_w	1	comment	katt
13291	13302	HelleBol	4	comment	katt
13291	13304	HelleBol	1	comment	katt
13291	13304	titare	1	comment	katt
13291	13307	titare	1	comment	katt
13291	13301	alexandra_w	4	comment	katt
13304	13296	HelleBol	1	comment	katt
13304	13291	alexandra_w	1	comment	katt
13304	13299	alexandra_w	4	comment	katt
13304	13296	alexandra_w	1	comment	katt
13304	13295	alexandra_w	1	comment	katt
13304	13302	titare	1	comment	katt
13304	13292	HelleBol	1	comment	katt
13304	13308	alexandra_w	4	comment	katt
13304	13292	titare	1	comment	katt
13304	13299	HelleBol	4	comment	katt
13304	13297	alexandra_w	1	comment	katt
13304	13294	HelleBol	4	comment	katt
13304	13299	titare	4	comment	katt
13304	13293	titare	1	comment	katt
13304	13307	titare	4	comment	katt
13299	13303	titare	1	comment	katt
13299	13290	alexandra_w	1	comment	katt
