identifier1	identifier2	annotator	judgment	comment	lemma
15032	15028	alexandra_w	3	comment	fane
15032	15034	alexandra_w	2	comment	fane
15032	15025	alexandra_w	4	comment	fane
15032	15030	titare	3	comment	fane
15032	15027	HelleBol	2	comment	fane
15032	15018	titare	4	comment	fane
15032	15031	HelleBol	4	comment	fane
15032	15024	HelleBol	3	comment	fane
15032	15019	HelleBol	2	comment	fane
15032	15029	HelleBol	2	comment	fane
15032	15029	titare	1	comment	fane
15032	15027	alexandra_w	2	comment	fane
15032	15022	alexandra_w	3	comment	fane
15032	15034	HelleBol	2	comment	fane
15032	15021	HelleBol	2	comment	fane
15032	15030	alexandra_w	3	comment	fane
15032	15023	alexandra_w	4	comment	fane
15032	15023	HelleBol	4	comment	fane
15032	15017	alexandra_w	2	comment	fane
15032	15019	alexandra_w	1	comment	fane
15024	15018	alexandra_w	4	comment	fane
15024	15025	alexandra_w	4	comment	fane
15024	15032	alexandra_w	4	comment	fane
15024	15030	alexandra_w	3	comment	fane
15024	15021	alexandra_w	4	comment	fane
15024	15019	HelleBol	2	comment	fane
15024	15028	titare	4	comment	fane
15024	15033	alexandra_w	2	comment	fane
15024	15019	alexandra_w	2	comment	fane
15024	15020	alexandra_w	4	comment	fane
15024	15026	titare	1	comment	fane
15024	15026	HelleBol	2	comment	fane
15024	15030	titare	4	comment	fane
15024	15017	HelleBol	2	comment	fane
15024	15032	titare	3	comment	fane
15024	15031	titare	3	comment	fane
15024	15021	HelleBol	4	comment	fane
15024	15018	HelleBol	3	comment	fane
15024	15022	alexandra_w	4	comment	fane
15024	15027	HelleBol	2	comment	fane
15022	15030	alexandra_w	4	comment	fane
15022	15024	HelleBol	4	comment	fane
15022	15029	HelleBol	2	comment	fane
15022	15025	titare	4	comment	fane
15022	15027	HelleBol	2	comment	fane
15022	15023	alexandra_w	3	comment	fane
15022	15032	HelleBol	3	comment	fane
15022	15017	titare	1	comment	fane
15022	15018	titare	3	comment	fane
15022	15025	HelleBol	3	comment	fane
15022	15024	titare	4	comment	fane
15022	15025	alexandra_w	3	comment	fane
15022	15019	alexandra_w	2	comment	fane
15022	15021	titare	3	comment	fane
15022	15026	alexandra_w	1	comment	fane
15022	15032	titare	3	comment	fane
15022	15028	HelleBol	4	comment	fane
15022	15021	alexandra_w	4	comment	fane
15022	15021	HelleBol	4	comment	fane
15022	15027	alexandra_w	1	comment	fane
15022	15031	titare	3	comment	fane
15022	15033	HelleBol	2	comment	fane
15022	15017	HelleBol	2	comment	fane
15022	15029	titare	1	comment	fane
15026	15025	alexandra_w	2	comment	fane
15026	15032	titare	1	comment	fane
15026	15031	alexandra_w	2	comment	fane
15026	15030	alexandra_w	2	comment	fane
15026	15029	alexandra_w	1	comment	fane
15026	15019	titare	1	comment	fane
15026	15032	alexandra_w	2	comment	fane
15026	15024	alexandra_w	1	comment	fane
15026	15020	HelleBol	2	comment	fane
15026	15028	titare	1	comment	fane
15026	15018	titare	1	comment	fane
15026	15023	titare	1	comment	fane
15026	15025	titare	1	comment	fane
15026	15029	HelleBol	2	comment	fane
15026	15032	HelleBol	2	comment	fane
15026	15018	alexandra_w	2	comment	fane
15026	15022	titare	1	comment	fane
15026	15030	HelleBol	2	comment	fane
15026	15028	alexandra_w	2	comment	fane
15029	15024	alexandra_w	2	comment	fane
15029	15034	titare	1	comment	fane
15029	15032	alexandra_w	3	comment	fane
15029	15030	alexandra_w	1	comment	fane
15029	15027	alexandra_w	1	comment	fane
15029	15022	alexandra_w	1	comment	fane
15029	15021	HelleBol	2	comment	fane
15029	15018	alexandra_w	4	comment	fane
15029	15019	alexandra_w	4	comment	fane
15029	15024	titare	1	comment	fane
15029	15028	alexandra_w	1	comment	fane
15029	15030	titare	1	comment	fane
15029	15021	titare	1	comment	fane
15029	15017	alexandra_w	1	comment	fane
15029	15033	HelleBol	2	comment	fane
15029	15019	titare	4	comment	fane
15029	15017	titare	1	comment	fane
15029	15023	titare	1	comment	fane
15029	15023	HelleBol	2	comment	fane
15029	15031	titare	1	comment	fane
15029	15019	HelleBol	4	comment	fane
15029	15026	titare	1	comment	fane
15029	15027	titare	1	comment	fane
15029	15018	titare	1	comment	fane
15029	15031	alexandra_w	1	comment	fane
15029	15024	HelleBol	2	comment	fane
15025	15028	HelleBol	3	comment	fane
15025	15031	alexandra_w	4	comment	fane
15025	15021	alexandra_w	3	comment	fane
15025	15024	titare	3	comment	fane
15025	15020	alexandra_w	4	comment	fane
15025	15033	titare	1	comment	fane
15025	15027	HelleBol	2	comment	fane
15025	15029	titare	1	comment	fane
15025	15018	alexandra_w	4	comment	fane
15025	15018	titare	4	comment	fane
15025	15030	titare	3	comment	fane
15025	15023	titare	4	comment	fane
15025	15029	HelleBol	2	comment	fane
15025	15017	HelleBol	2	comment	fane
15025	15034	alexandra_w	2	comment	fane
15025	15033	alexandra_w	2	comment	fane
15025	15032	titare	4	comment	fane
15025	15020	titare	4	comment	fane
15025	15029	alexandra_w	2	comment	fane
15025	15024	HelleBol	3	comment	fane
15019	15028	titare	1	comment	fane
15019	15025	HelleBol	2	comment	fane
15019	15024	titare	1	comment	fane
15019	15030	alexandra_w	1	comment	fane
15019	15025	alexandra_w	1	comment	fane
15019	15031	HelleBol	2	comment	fane
15019	15017	alexandra_w	1	comment	fane
15019	15023	titare	1	comment	fane
15019	15018	titare	0	comment	fane
15019	15032	titare	1	comment	fane
15019	15023	alexandra_w	3	comment	fane
15019	15018	HelleBol	2	comment	fane
15019	15033	alexandra_w	1	comment	fane
15019	15033	HelleBol	2	comment	fane
15019	15034	titare	1	comment	fane
15019	15021	titare	1	comment	fane
15019	15020	HelleBol	2	comment	fane
15019	15026	alexandra_w	1	comment	fane
