identifier1	identifier2	annotator	judgment	comment	lemma
15002	15016	titare	3	comment	spill
15002	14998	HelleBol	4	comment	spill
15002	15009	HelleBol	3	comment	spill
15002	15000	alexandra_w	4	comment	spill
15002	15011	titare	1	comment	spill
15002	15000	titare	3	comment	spill
15002	14998	titare	4	comment	spill
15002	15012	HelleBol	4	comment	spill
15002	15011	HelleBol	3	comment	spill
15002	14999	alexandra_w	4	comment	spill
15002	14995	HelleBol	3	comment	spill
15002	15001	HelleBol	3	comment	spill
15002	14996	alexandra_w	4	comment	spill
15002	14999	HelleBol	3	comment	spill
15002	15000	HelleBol	4	comment	spill
15002	15012	titare	4	comment	spill
15002	15015	titare	2	comment	spill
14996	15009	alexandra_w	2	comment	spill
14996	14998	alexandra_w	4	comment	spill
14996	15001	titare	4	comment	spill
14996	15004	titare	1	comment	spill
14996	15010	HelleBol	3	comment	spill
14996	15008	alexandra_w	4	comment	spill
14996	15006	titare	1	comment	spill
14996	15003	alexandra_w	4	comment	spill
14996	15007	alexandra_w	4	comment	spill
14996	15015	HelleBol	3	comment	spill
14996	14997	alexandra_w	4	comment	spill
14996	15015	titare	1	comment	spill
14996	15014	HelleBol	3	comment	spill
14996	15012	titare	1	comment	spill
14996	15007	titare	1	comment	spill
14996	15004	alexandra_w	4	comment	spill
14996	15013	HelleBol	4	comment	spill
14996	15008	titare	1	comment	spill
15006	15000	titare	0	comment	spill
15006	15010	titare	0	comment	spill
15006	15016	alexandra_w	3	comment	spill
15006	15000	HelleBol	3	comment	spill
15006	15008	HelleBol	3	comment	spill
15006	15013	titare	0	comment	spill
15006	15014	alexandra_w	4	comment	spill
15006	14998	alexandra_w	3	comment	spill
15006	14995	titare	0	comment	spill
15006	15008	titare	0	comment	spill
15006	15007	alexandra_w	3	comment	spill
15006	15002	titare	0	comment	spill
15006	15008	alexandra_w	3	comment	spill
15006	15016	HelleBol	3	comment	spill
15006	15007	HelleBol	0	comment	spill
15006	15005	titare	0	comment	spill
15006	15007	titare	0	comment	spill
15006	15012	titare	0	comment	spill
15006	14999	HelleBol	1	comment	spill
15006	15015	HelleBol	3	comment	spill
15006	15005	alexandra_w	3	comment	spill
15006	14999	alexandra_w	2	comment	spill
15006	15010	alexandra_w	2	comment	spill
15014	15011	titare	1	comment	spill
15014	14999	titare	3	comment	spill
15014	14995	HelleBol	3	comment	spill
15014	15003	HelleBol	0	comment	spill
15014	14997	titare	4	comment	spill
15014	15006	titare	0	comment	spill
15014	15005	titare	0	comment	spill
15014	15004	HelleBol	2	comment	spill
15014	15008	HelleBol	3	comment	spill
15014	15001	alexandra_w	4	comment	spill
15014	15007	HelleBol	0	comment	spill
15014	15004	titare	1	comment	spill
15014	15009	titare	1	comment	spill
15014	15016	HelleBol	4	comment	spill
15014	15015	alexandra_w	4	comment	spill
15014	15003	titare	0	comment	spill
15014	15002	titare	3	comment	spill
15014	15006	HelleBol	4	comment	spill
15014	15012	alexandra_w	4	comment	spill
15008	15000	alexandra_w	4	comment	spill
15008	15005	alexandra_w	3	comment	spill
15008	14997	titare	1	comment	spill
15008	15016	alexandra_w	4	comment	spill
15008	15001	titare	1	comment	spill
15008	15014	titare	1	comment	spill
15008	14999	alexandra_w	2	comment	spill
15008	15011	HelleBol	3	comment	spill
15008	15001	HelleBol	3	comment	spill
15008	14995	alexandra_w	4	comment	spill
15008	15000	titare	1	comment	spill
15008	15015	alexandra_w	4	comment	spill
15008	15002	alexandra_w	4	comment	spill
15008	15010	alexandra_w	4	comment	spill
15008	15013	HelleBol	3	comment	spill
15008	14995	HelleBol	4	comment	spill
15008	15013	alexandra_w	4	comment	spill
15008	15007	HelleBol	3	comment	spill
15008	15009	HelleBol	4	comment	spill
15008	15003	titare	0	comment	spill
15008	15016	HelleBol	3	comment	spill
15008	15005	HelleBol	0	comment	spill
15005	15004	titare	0	comment	spill
15005	15001	HelleBol	0	comment	spill
15005	15009	alexandra_w	3	comment	spill
15005	15003	titare	0	comment	spill
15005	14999	titare	0	comment	spill
15005	15016	alexandra_w	3	comment	spill
15005	15016	titare	0	comment	spill
15005	15011	alexandra_w	1	comment	spill
15005	15000	alexandra_w	2	comment	spill
15005	15008	titare	0	comment	spill
15005	15006	HelleBol	0	comment	spill
15005	15010	HelleBol	0	comment	spill
15005	15004	alexandra_w	4	comment	spill
15005	15002	alexandra_w	3	comment	spill
15005	15015	titare	0	comment	spill
15005	14999	HelleBol	0	comment	spill
15005	15013	titare	0	comment	spill
15005	15007	titare	0	comment	spill
15005	14998	alexandra_w	3	comment	spill
15005	14995	titare	0	comment	spill
15009	15015	HelleBol	4	comment	spill
15009	15003	titare	0	comment	spill
15009	15004	titare	4	comment	spill
15009	15012	HelleBol	4	comment	spill
15009	15008	alexandra_w	2	comment	spill
15009	15008	titare	1	comment	spill
15009	15005	titare	0	comment	spill
15009	15013	HelleBol	3	comment	spill
15009	15007	alexandra_w	1	comment	spill
15009	14995	alexandra_w	2	comment	spill
15009	15011	titare	4	comment	spill
15009	15001	alexandra_w	4	comment	spill
15009	15016	titare	1	comment	spill
15009	14996	titare	1	comment	spill
15009	15004	alexandra_w	0	comment	spill
15009	15004	HelleBol	2	comment	spill
15009	15002	alexandra_w	2	comment	spill
15009	15010	titare	1	comment	spill
15009	15000	HelleBol	4	comment	spill
15009	15006	alexandra_w	3	comment	spill
15009	14998	titare	1	comment	spill
15009	15011	HelleBol	3	comment	spill
14998	15015	titare	2	comment	spill
14998	15013	titare	1	comment	spill
14998	15008	alexandra_w	4	comment	spill
14998	15014	titare	2	comment	spill
14998	14997	alexandra_w	4	comment	spill
14998	15013	HelleBol	3	comment	spill
14998	15003	titare	0	comment	spill
14998	15011	HelleBol	3	comment	spill
14998	15013	alexandra_w	4	comment	spill
14998	15002	alexandra_w	4	comment	spill
14998	15001	alexandra_w	4	comment	spill
14998	15000	HelleBol	4	comment	spill
14998	15000	titare	4	comment	spill
14998	15006	HelleBol	3	comment	spill
14998	14999	titare	3	comment	spill
14998	15004	titare	1	comment	spill
14998	15014	alexandra_w	4	comment	spill
14998	15001	HelleBol	3	comment	spill
14998	15015	alexandra_w	4	comment	spill
15011	15015	titare	1	comment	spill
15011	15010	HelleBol	3	comment	spill
15011	15009	alexandra_w	4	comment	spill
15011	15006	HelleBol	4	comment	spill
15011	15013	alexandra_w	2	comment	spill
15011	14996	titare	1	comment	spill
15011	15012	alexandra_w	2	comment	spill
15011	15002	alexandra_w	2	comment	spill
15011	15016	alexandra_w	4	comment	spill
15011	14998	alexandra_w	2	comment	spill
15011	15003	alexandra_w	2	comment	spill
15011	15015	HelleBol	3	comment	spill
15011	15012	HelleBol	3	comment	spill
15011	15004	HelleBol	2	comment	spill
15011	15006	alexandra_w	2	comment	spill
15011	15006	titare	0	comment	spill
15011	15000	titare	1	comment	spill
15011	15005	HelleBol	0	comment	spill
15011	14996	alexandra_w	2	comment	spill
15011	15008	titare	1	comment	spill
15015	15008	titare	0	comment	spill
15015	15016	HelleBol	4	comment	spill
15015	15001	titare	1	comment	spill
15015	15005	alexandra_w	3	comment	spill
15015	15010	alexandra_w	4	comment	spill
15015	14999	alexandra_w	2	comment	spill
15015	15004	titare	1	comment	spill
15015	15003	alexandra_w	4	comment	spill
15015	15009	titare	1	comment	spill
15015	15005	HelleBol	0	comment	spill
15015	15009	alexandra_w	2	comment	spill
15015	15002	alexandra_w	4	comment	spill
15001	15013	titare	4	comment	spill
15001	15008	alexandra_w	4	comment	spill
15001	15011	alexandra_w	2	comment	spill
15001	15010	alexandra_w	4	comment	spill
15001	15011	titare	1	comment	spill
15001	15006	titare	0	comment	spill
15001	15013	HelleBol	4	comment	spill
15001	15012	HelleBol	3	comment	spill
15001	14997	titare	1	comment	spill
15001	15009	titare	1	comment	spill
15001	15004	titare	1	comment	spill
15001	15012	alexandra_w	4	comment	spill
15004	14995	alexandra_w	2	comment	spill
15004	15003	alexandra_w	2	comment	spill
15004	15005	HelleBol	0	comment	spill
15004	15008	HelleBol	2	comment	spill
15004	15006	alexandra_w	2	comment	spill
15004	14999	alexandra_w	1	comment	spill
15004	15016	titare	1	comment	spill
15004	14996	HelleBol	2	comment	spill
15004	15006	HelleBol	2	comment	spill
15004	15002	alexandra_w	2	comment	spill
15004	15010	alexandra_w	2	comment	spill
15004	15006	titare	0	comment	spill
15004	15012	alexandra_w	2	comment	spill
15004	15002	HelleBol	2	comment	spill
15004	14995	HelleBol	2	comment	spill
15004	15015	HelleBol	4	comment	spill
15010	14998	alexandra_w	4	comment	spill
15010	14998	HelleBol	4	comment	spill
15010	15015	HelleBol	3	comment	spill
15010	15004	titare	1	comment	spill
15010	15013	alexandra_w	4	comment	spill
15010	15007	alexandra_w	4	comment	spill
15010	15013	HelleBol	3	comment	spill
15010	15004	HelleBol	2	comment	spill
15010	15012	alexandra_w	4	comment	spill
15010	15009	alexandra_w	4	comment	spill
15010	15005	alexandra_w	3	comment	spill
15010	15002	titare	3	comment	spill
15010	15003	titare	0	comment	spill
15010	15014	alexandra_w	4	comment	spill
15010	15016	titare	3	comment	spill
15010	15012	HelleBol	4	comment	spill
15010	15001	HelleBol	3	comment	spill
15010	14996	alexandra_w	4	comment	spill
15010	15000	HelleBol	4	comment	spill
15010	15001	titare	1	comment	spill
15010	15005	titare	0	comment	spill
15000	15015	titare	3	comment	spill
15000	15004	titare	1	comment	spill
15000	15003	HelleBol	0	comment	spill
15000	15015	HelleBol	4	comment	spill
15000	15014	alexandra_w	4	comment	spill
15000	15005	titare	0	comment	spill
15000	15016	titare	3	comment	spill
15000	15013	titare	1	comment	spill
15000	15012	HelleBol	4	comment	spill
15000	15009	titare	1	comment	spill
15000	14999	titare	2	comment	spill
15000	15009	alexandra_w	2	comment	spill
15000	15006	alexandra_w	3	comment	spill
15000	14995	titare	3	comment	spill
15000	15013	alexandra_w	4	comment	spill
