identifier1	identifier2	annotator	judgment	comment	lemma
13906	13908	HelleBol	4	comment	varsel
13906	13911	titare	3	comment	varsel
13906	13918	alexandra_w	4	comment	varsel
13906	13916	titare	4	comment	varsel
13906	13916	alexandra_w	4	comment	varsel
13906	13921	HelleBol	4	comment	varsel
13906	13903	titare	3	comment	varsel
13906	13908	alexandra_w	4	comment	varsel
13906	13909	HelleBol	4	comment	varsel
13906	13920	alexandra_w	4	comment	varsel
13906	13912	alexandra_w	4	comment	varsel
13906	13910	HelleBol	4	comment	varsel
13906	13910	alexandra_w	4	comment	varsel
13906	13915	alexandra_w	4	comment	varsel
13906	13916	HelleBol	4	comment	varsel
13906	13917	alexandra_w	4	comment	varsel
13906	13905	titare	3	comment	varsel
13906	13922	alexandra_w	3	comment	varsel
13908	13920	titare	4	comment	varsel
13908	13915	HelleBol	4	comment	varsel
13908	13915	alexandra_w	3	comment	varsel
13908	13919	HelleBol	4	comment	varsel
13908	13914	alexandra_w	3	comment	varsel
13908	13916	HelleBol	4	comment	varsel
13908	13920	alexandra_w	3	comment	varsel
13908	13912	titare	3	comment	varsel
13908	13904	titare	3	comment	varsel
13908	13917	titare	3	comment	varsel
13908	13919	alexandra_w	4	comment	varsel
13908	13916	alexandra_w	4	comment	varsel
13908	13907	alexandra_w	4	comment	varsel
13908	13903	alexandra_w	4	comment	varsel
13908	13902	alexandra_w	4	comment	varsel
13908	13907	titare	4	comment	varsel
13914	13904	titare	4	comment	varsel
13914	13907	HelleBol	4	comment	varsel
13914	13921	alexandra_w	4	comment	varsel
13914	13904	alexandra_w	4	comment	varsel
13914	13910	alexandra_w	4	comment	varsel
13914	13912	titare	4	comment	varsel
13914	13908	HelleBol	4	comment	varsel
13914	13906	alexandra_w	4	comment	varsel
13914	13902	HelleBol	4	comment	varsel
13914	13918	HelleBol	4	comment	varsel
13914	13901	alexandra_w	4	comment	varsel
13914	13920	HelleBol	4	comment	varsel
13914	13918	titare	3	comment	varsel
13914	13915	alexandra_w	4	comment	varsel
13914	13911	titare	4	comment	varsel
13914	13909	titare	3	comment	varsel
13917	13913	alexandra_w	4	comment	varsel
13917	13915	titare	4	comment	varsel
13917	13901	HelleBol	4	comment	varsel
13917	13904	alexandra_w	4	comment	varsel
13917	13914	titare	4	comment	varsel
13917	13907	alexandra_w	4	comment	varsel
13917	13914	HelleBol	4	comment	varsel
13917	13922	titare	3	comment	varsel
13917	13910	HelleBol	4	comment	varsel
13917	13905	titare	4	comment	varsel
13917	13902	alexandra_w	4	comment	varsel
13917	13920	HelleBol	4	comment	varsel
13917	13912	HelleBol	4	comment	varsel
13917	13902	titare	4	comment	varsel
13917	13907	HelleBol	4	comment	varsel
13917	13922	alexandra_w	4	comment	varsel
13910	13909	titare	3	comment	varsel
13910	13918	HelleBol	4	comment	varsel
13910	13911	HelleBol	4	comment	varsel
13910	13911	titare	4	comment	varsel
13910	13918	alexandra_w	4	comment	varsel
13910	13921	alexandra_w	4	comment	varsel
13910	13901	alexandra_w	4	comment	varsel
13910	13905	titare	4	comment	varsel
13910	13905	alexandra_w	4	comment	varsel
13910	13913	alexandra_w	4	comment	varsel
13919	13921	HelleBol	4	comment	varsel
13919	13904	titare	3	comment	varsel
13919	13901	titare	3	comment	varsel
13919	13906	titare	3	comment	varsel
13919	13913	HelleBol	4	comment	varsel
13919	13922	alexandra_w	4	comment	varsel
13919	13906	alexandra_w	4	comment	varsel
13919	13914	HelleBol	4	comment	varsel
13919	13904	alexandra_w	4	comment	varsel
13919	13921	titare	4	comment	varsel
13919	13905	titare	4	comment	varsel
13919	13917	HelleBol	4	comment	varsel
13919	13907	alexandra_w	4	comment	varsel
13919	13908	titare	3	comment	varsel
13919	13903	HelleBol	4	comment	varsel
13919	13920	titare	3	comment	varsel
13919	13910	alexandra_w	4	comment	varsel
13919	13911	titare	3	comment	varsel
13919	13903	titare	3	comment	varsel
13919	13916	titare	4	comment	varsel
13919	13903	alexandra_w	4	comment	varsel
13901	13904	HelleBol	4	comment	varsel
13901	13919	HelleBol	4	comment	varsel
13901	13911	titare	3	comment	varsel
13901	13904	alexandra_w	3	comment	varsel
13901	13918	alexandra_w	4	comment	varsel
13901	13916	alexandra_w	3	comment	varsel
13901	13918	titare	3	comment	varsel
13901	13908	HelleBol	4	comment	varsel
13901	13913	alexandra_w	3	comment	varsel
13901	13922	alexandra_w	4	comment	varsel
13901	13903	alexandra_w	4	comment	varsel
13901	13916	titare	3	comment	varsel
13901	13910	HelleBol	4	comment	varsel
13901	13920	alexandra_w	4	comment	varsel
13901	13908	titare	4	comment	varsel
13901	13914	titare	3	comment	varsel
13901	13917	alexandra_w	3	comment	varsel
13916	13918	HelleBol	4	comment	varsel
13916	13904	alexandra_w	4	comment	varsel
13916	13921	alexandra_w	4	comment	varsel
13916	13907	titare	3	comment	varsel
13916	13903	alexandra_w	4	comment	varsel
13916	13920	titare	3	comment	varsel
13916	13911	titare	3	comment	varsel
13916	13914	alexandra_w	4	comment	varsel
13916	13922	titare	3	comment	varsel
13916	13912	titare	3	comment	varsel
13916	13907	HelleBol	4	comment	varsel
13916	13918	alexandra_w	4	comment	varsel
13904	13910	alexandra_w	4	comment	varsel
13904	13921	HelleBol	4	comment	varsel
13904	13905	HelleBol	4	comment	varsel
13904	13910	titare	4	comment	varsel
13904	13913	HelleBol	4	comment	varsel
13904	13918	titare	4	comment	varsel
13904	13909	HelleBol	4	comment	varsel
13904	13908	HelleBol	4	comment	varsel
13904	13901	titare	3	comment	varsel
13904	13903	titare	4	comment	varsel
13904	13907	HelleBol	4	comment	varsel
13904	13909	titare	4	comment	varsel
13904	13903	alexandra_w	4	comment	varsel
13904	13916	titare	3	comment	varsel
13904	13911	HelleBol	4	comment	varsel
13902	13916	titare	3	comment	varsel
13902	13919	HelleBol	4	comment	varsel
13902	13905	alexandra_w	4	comment	varsel
13902	13913	titare	3	comment	varsel
13902	13907	titare	3	comment	varsel
13902	13922	alexandra_w	2	comment	varsel
13902	13917	HelleBol	4	comment	varsel
13902	13904	HelleBol	4	comment	varsel
13902	13916	alexandra_w	4	comment	varsel
13902	13911	alexandra_w	4	comment	varsel
13902	13910	alexandra_w	4	comment	varsel
13902	13906	titare	3	comment	varsel
13902	13903	alexandra_w	4	comment	varsel
13902	13907	alexandra_w	4	comment	varsel
13902	13909	HelleBol	4	comment	varsel
13902	13919	alexandra_w	4	comment	varsel
13905	13914	alexandra_w	4	comment	varsel
13905	13903	titare	4	comment	varsel
13905	13909	HelleBol	4	comment	varsel
13905	13901	HelleBol	4	comment	varsel
13905	13918	alexandra_w	4	comment	varsel
13905	13907	alexandra_w	3	comment	varsel
13905	13919	HelleBol	4	comment	varsel
13905	13922	HelleBol	4	comment	varsel
13905	13917	alexandra_w	4	comment	varsel
13905	13913	titare	4	comment	varsel
13905	13921	HelleBol	4	comment	varsel
13905	13917	HelleBol	4	comment	varsel
13905	13901	alexandra_w	3	comment	varsel
13905	13922	titare	3	comment	varsel
13905	13912	alexandra_w	0	comment	varsel
13905	13915	titare	4	comment	varsel
13905	13907	HelleBol	4	comment	varsel
13905	13914	HelleBol	4	comment	varsel
13905	13913	alexandra_w	4	comment	varsel
13915	13913	alexandra_w	4	comment	varsel
13915	13911	alexandra_w	4	comment	varsel
13915	13901	alexandra_w	3	comment	varsel
13915	13901	HelleBol	4	comment	varsel
13915	13912	titare	4	comment	varsel
13915	13902	alexandra_w	4	comment	varsel
13915	13917	alexandra_w	4	comment	varsel
13915	13904	HelleBol	4	comment	varsel
13915	13903	alexandra_w	4	comment	varsel
13915	13910	HelleBol	4	comment	varsel
13915	13922	alexandra_w	3	comment	varsel
13915	13905	alexandra_w	4	comment	varsel
13915	13916	titare	3	comment	varsel
13915	13909	alexandra_w	4	comment	varsel
13921	13920	alexandra_w	3	comment	varsel
13921	13909	HelleBol	4	comment	varsel
13921	13905	alexandra_w	4	comment	varsel
13921	13919	alexandra_w	4	comment	varsel
13921	13903	HelleBol	4	comment	varsel
13921	13917	HelleBol	4	comment	varsel
13921	13915	HelleBol	4	comment	varsel
13921	13907	HelleBol	4	comment	varsel
13921	13906	titare	3	comment	varsel
13921	13916	titare	3	comment	varsel
13921	13908	alexandra_w	4	comment	varsel
13921	13917	titare	4	comment	varsel
13921	13902	alexandra_w	4	comment	varsel
13921	13912	alexandra_w	4	comment	varsel
13921	13903	titare	3	comment	varsel
13921	13908	HelleBol	4	comment	varsel
13921	13917	alexandra_w	4	comment	varsel
13903	13906	HelleBol	4	comment	varsel
13903	13906	alexandra_w	4	comment	varsel
13903	13910	HelleBol	4	comment	varsel
13903	13911	alexandra_w	3	comment	varsel
13903	13914	HelleBol	4	comment	varsel
13903	13917	alexandra_w	4	comment	varsel
13903	13913	alexandra_w	4	comment	varsel
13903	13911	titare	3	comment	varsel
13903	13907	alexandra_w	4	comment	varsel
13903	13912	alexandra_w	4	comment	varsel
13903	13915	titare	4	comment	varsel
13903	13922	alexandra_w	4	comment	varsel
13903	13920	titare	3	comment	varsel
13903	13918	HelleBol	4	comment	varsel
13903	13916	titare	3	comment	varsel
13909	13901	HelleBol	4	comment	varsel
13909	13912	alexandra_w	4	comment	varsel
13909	13914	HelleBol	4	comment	varsel
13909	13919	titare	4	comment	varsel
13909	13903	alexandra_w	4	comment	varsel
13909	13908	titare	3	comment	varsel
13909	13922	HelleBol	4	comment	varsel
13909	13915	HelleBol	4	comment	varsel
13909	13921	alexandra_w	4	comment	varsel
13909	13914	alexandra_w	4	comment	varsel
13909	13919	alexandra_w	4	comment	varsel
13909	13908	alexandra_w	4	comment	varsel
13909	13910	alexandra_w	4	comment	varsel
13912	13907	alexandra_w	4	comment	varsel
13912	13918	HelleBol	4	comment	varsel
13912	13911	titare	3	comment	varsel
13912	13901	HelleBol	4	comment	varsel
13912	13907	HelleBol	4	comment	varsel
13912	13913	titare	4	comment	varsel
13912	13920	titare	4	comment	varsel
13912	13918	titare	4	comment	varsel
13912	13920	alexandra_w	4	comment	varsel
13912	13901	titare	4	comment	varsel
13912	13909	titare	3	comment	varsel
13912	13916	HelleBol	4	comment	varsel
13912	13913	alexandra_w	3	comment	varsel
13912	13915	HelleBol	4	comment	varsel
13912	13905	HelleBol	4	comment	varsel
13912	13908	alexandra_w	4	comment	varsel
13912	13910	titare	4	comment	varsel
13912	13916	alexandra_w	4	comment	varsel
13912	13922	alexandra_w	3	comment	varsel
13907	13918	titare	3	comment	varsel
13907	13903	HelleBol	4	comment	varsel
13907	13910	HelleBol	4	comment	varsel
13907	13914	alexandra_w	4	comment	varsel
13907	13903	titare	3	comment	varsel
13907	13916	alexandra_w	4	comment	varsel
13907	13917	titare	3	comment	varsel
13907	13922	alexandra_w	4	comment	varsel
13907	13906	titare	3	comment	varsel
13907	13919	HelleBol	4	comment	varsel
13907	13905	titare	3	comment	varsel
13907	13910	alexandra_w	4	comment	varsel
13907	13919	titare	3	comment	varsel
13907	13911	HelleBol	4	comment	varsel
13918	13917	titare	4	comment	varsel
13918	13903	alexandra_w	4	comment	varsel
13918	13917	alexandra_w	4	comment	varsel
13918	13914	alexandra_w	4	comment	varsel
13918	13912	alexandra_w	4	comment	varsel
13918	13915	alexandra_w	4	comment	varsel
13918	13921	titare	4	comment	varsel
13918	13908	alexandra_w	4	comment	varsel
13918	13906	titare	3	comment	varsel
13918	13907	alexandra_w	3	comment	varsel
13918	13913	titare	4	comment	varsel
13918	13909	alexandra_w	4	comment	varsel
13918	13919	titare	4	comment	varsel
13918	13902	HelleBol	4	comment	varsel
13920	13907	titare	4	comment	varsel
13920	13903	alexandra_w	3	comment	varsel
13920	13907	alexandra_w	4	comment	varsel
13920	13917	alexandra_w	4	comment	varsel
13920	13914	alexandra_w	4	comment	varsel
13920	13909	HelleBol	4	comment	varsel
13920	13913	titare	3	comment	varsel
13920	13914	titare	3	comment	varsel
13920	13903	HelleBol	4	comment	varsel
13920	13906	HelleBol	4	comment	varsel
13920	13905	titare	3	comment	varsel
13920	13913	alexandra_w	4	comment	varsel
13920	13916	alexandra_w	4	comment	varsel
13920	13909	titare	3	comment	varsel
13920	13907	HelleBol	4	comment	varsel
13920	13904	alexandra_w	3	comment	varsel
13913	13915	HelleBol	4	comment	varsel
13913	13902	alexandra_w	4	comment	varsel
13913	13906	titare	2	comment	varsel
13913	13918	HelleBol	4	comment	varsel
13913	13921	HelleBol	4	comment	varsel
13913	13912	HelleBol	4	comment	varsel
13913	13909	HelleBol	4	comment	varsel
13913	13922	titare	3	comment	varsel
13913	13911	HelleBol	4	comment	varsel
13913	13919	titare	4	comment	varsel
13913	13908	HelleBol	4	comment	varsel
13913	13908	alexandra_w	4	comment	varsel
