bit	small piece vs bit in binary system	1929:1968 – 1968:2020
bølge	radio, sound etc. vs water	1929:1968 – 1968:2020
data	fact/information vs computer	1929:1968 – 1968:2020
egg	animal egg, fish egg, tractor egg	1929:1968 – 1968:2020
fil	tool vs car lane vs data file	1929:1968 – 1968:2020
forhold	romantic vs non-romantic	1929:1968 – 1968:2020
gress	grass vs weed (marijuana)	1929:1968 – 1968:2020
idiot	medical term vs derogatory term	1929:1968 – 1968:2020
kart 	map vs unripe fruit/a person/  	1929:1968 – 1968:2020
kjemi	scientific field vs interpersonal chemistry	1929:1968 – 1968:2020
krem	diary product vs skin product	1929:1968 – 1968:2020
leilighet	opportunity vs place to live	1929:1968 – 1968:2020
linse	plant vs contact lens	1929:1968 – 1968:2020
mål	voice/language vs measure	1929:1968 – 1968:2020
pære	pear vs light bulb	1929:1968 – 1968:2020
plattform	actual platform, metaphorical platform	1929:1968 – 1968:2020
rev	animal vs joint 	1929:1968 – 1968:2020
ris	unit of measure vs rice	1929:1968 – 1968:2020
skjerm	screen vs computer screen	1929:1968 – 1968:2020
stoff	fabric vs illegal drugs	1929:1968 – 1968:2020
