word	instances	hours
frakk	220	1
anfektelse	203	0.5
damp	133	0.3
mål	162	0.75
rev	245	0.75
egg	100	0.3
data	118	0.2
pære	157	0.5
kjemi	103	0.25
stoff	102	0.25
plattform	116	0.3
tro	111	0.25
idiot	125	0.3
forhold	100	0.3
horisont	121	0.3
skjerm	102	0.3
katten	106	0.4
lyng	100	0.25
tropp	100	0.20
kloakk	103	0.25
gress	102	0.25
ris	109	0.25
linse	101	0.25
fag	113	0.2
operasjon	101	0.2
landet	116	0.25
mening	106	0.25
ørret	100	0.2
bit	202	0.5
leder	102	0.2
leilighet	101	0.25
fil	215	0.5
etterforskning	101	0.2
varsel	101	0.2
sete	110	0.2
rad	167	0.5
krem	114	0.2
bølge	102	0.25
kart	101	0.2
formiddagen	106	0.2
husrom	111	0.25
stryk	118	0.25
tjener	117	0.25
strøm	143	0.25
tester	115	0.25
kjøpepress	138	0.25
melding	110	0.25
virkelighet	129	0.25
papir	125	0.25
mappe	123	0.5
sky	115	0.25
kreft	124	0.25
utakt	115	0.25
spill	153	0.25
fane	140	0.5
tape	120	0.25
bank	112	0.25


