identifier1	identifier2	annotator	judgment	comment	lemma
13522	13519	alexandra_w	3	comment	tropp
13522	13516	HelleBol	3	comment	tropp
13522	13518	HelleBol	4	comment	tropp
13522	13513	titare	4	comment	tropp
13522	13512	alexandra_w	3	comment	tropp
13522	13510	alexandra_w	4	comment	tropp
13522	13517	titare	4	comment	tropp
13522	13513	HelleBol	4	comment	tropp
13522	13507	HelleBol	4	comment	tropp
13522	13511	alexandra_w	3	comment	tropp
13522	13525	alexandra_w	4	comment	tropp
13522	13518	alexandra_w	4	comment	tropp
13522	13514	alexandra_w	4	comment	tropp
13522	13520	alexandra_w	3	comment	tropp
13522	13509	titare	4	comment	tropp
13522	13510	titare	4	comment	tropp
13505	13509	HelleBol	4	comment	tropp
13505	13526	HelleBol	4	comment	tropp
13505	13513	alexandra_w	3	comment	tropp
13505	13521	titare	4	comment	tropp
13505	13523	alexandra_w	3	comment	tropp
13505	13525	HelleBol	4	comment	tropp
13505	13514	alexandra_w	4	comment	tropp
13505	13520	titare	4	comment	tropp
13505	13517	alexandra_w	3	comment	tropp
13505	13514	titare	4	comment	tropp
13505	13516	titare	4	comment	tropp
13505	13508	titare	4	comment	tropp
13505	13521	alexandra_w	4	comment	tropp
13505	13523	HelleBol	4	comment	tropp
13505	13513	titare	4	comment	tropp
13505	13514	HelleBol	4	comment	tropp
13505	13506	alexandra_w	3	comment	tropp
13505	13523	titare	4	comment	tropp
13505	13510	titare	4	comment	tropp
13505	13507	alexandra_w	3	comment	tropp
13505	13512	titare	4	comment	tropp
13505	13511	alexandra_w	3	comment	tropp
13512	13517	alexandra_w	4	comment	tropp
13512	13519	HelleBol	4	comment	tropp
13512	13524	HelleBol	4	comment	tropp
13512	13514	titare	4	comment	tropp
13512	13508	alexandra_w	4	comment	tropp
13512	13521	titare	4	comment	tropp
13512	13511	HelleBol	4	comment	tropp
13512	13525	alexandra_w	4	comment	tropp
13512	13526	alexandra_w	4	comment	tropp
13512	13513	titare	4	comment	tropp
13512	13515	HelleBol	4	comment	tropp
13512	13522	HelleBol	4	comment	tropp
13512	13520	HelleBol	4	comment	tropp
13512	13511	titare	4	comment	tropp
13512	13515	titare	4	comment	tropp
13512	13518	alexandra_w	4	comment	tropp
13512	13524	titare	4	comment	tropp
13512	13513	alexandra_w	4	comment	tropp
13520	13507	alexandra_w	3	comment	tropp
13520	13518	alexandra_w	4	comment	tropp
13520	13525	alexandra_w	3	comment	tropp
13520	13507	HelleBol	4	comment	tropp
13520	13516	alexandra_w	3	comment	tropp
13520	13509	alexandra_w	3	comment	tropp
13520	13510	alexandra_w	3	comment	tropp
13520	13509	HelleBol	4	comment	tropp
13520	13507	titare	4	comment	tropp
13520	13522	HelleBol	4	comment	tropp
13520	13523	alexandra_w	3	comment	tropp
13520	13514	titare	4	comment	tropp
13520	13509	titare	4	comment	tropp
13520	13524	HelleBol	4	comment	tropp
13520	13512	alexandra_w	3	comment	tropp
13515	13518	alexandra_w	4	comment	tropp
13515	13519	HelleBol	4	comment	tropp
13515	13522	HelleBol	4	comment	tropp
13515	13520	titare	4	comment	tropp
13515	13505	HelleBol	4	comment	tropp
13515	13517	HelleBol	4	comment	tropp
13515	13522	titare	4	comment	tropp
13515	13511	alexandra_w	4	comment	tropp
13515	13512	alexandra_w	4	comment	tropp
13515	13520	alexandra_w	3	comment	tropp
13515	13525	alexandra_w	4	comment	tropp
13515	13521	alexandra_w	4	comment	tropp
13515	13506	HelleBol	4	comment	tropp
13510	13513	alexandra_w	4	comment	tropp
13510	13511	HelleBol	4	comment	tropp
13510	13505	alexandra_w	4	comment	tropp
13510	13518	alexandra_w	4	comment	tropp
13510	13526	HelleBol	4	comment	tropp
13510	13508	alexandra_w	4	comment	tropp
13510	13506	titare	4	comment	tropp
13510	13512	alexandra_w	4	comment	tropp
13510	13525	titare	4	comment	tropp
13510	13525	alexandra_w	4	comment	tropp
13510	13521	titare	4	comment	tropp
13510	13514	alexandra_w	4	comment	tropp
13510	13514	HelleBol	4	comment	tropp
13510	13505	HelleBol	4	comment	tropp
13506	13514	alexandra_w	4	comment	tropp
13506	13511	alexandra_w	4	comment	tropp
13506	13523	titare	4	comment	tropp
13506	13522	HelleBol	4	comment	tropp
13506	13512	titare	4	comment	tropp
13506	13512	alexandra_w	4	comment	tropp
13506	13515	titare	4	comment	tropp
13506	13523	alexandra_w	4	comment	tropp
13506	13513	titare	4	comment	tropp
13506	13522	titare	4	comment	tropp
13506	13515	alexandra_w	4	comment	tropp
13506	13518	HelleBol	4	comment	tropp
13506	13519	titare	4	comment	tropp
13506	13519	HelleBol	4	comment	tropp
13506	13521	alexandra_w	4	comment	tropp
13506	13518	alexandra_w	4	comment	tropp
13506	13511	titare	4	comment	tropp
13506	13519	alexandra_w	0	comment	tropp
13506	13520	alexandra_w	3	comment	tropp
13518	13517	alexandra_w	4	comment	tropp
13518	13509	HelleBol	4	comment	tropp
13518	13520	HelleBol	4	comment	tropp
13518	13523	HelleBol	4	comment	tropp
13518	13514	titare	4	comment	tropp
13518	13506	titare	4	comment	tropp
13518	13526	alexandra_w	4	comment	tropp
13518	13513	titare	4	comment	tropp
13518	13516	HelleBol	3	comment	tropp
13518	13525	titare	0	comment	tropp
13518	13514	alexandra_w	4	comment	tropp
13518	13516	alexandra_w	0	comment	tropp
13518	13511	alexandra_w	4	comment	tropp
13518	13508	alexandra_w	4	comment	tropp
13518	13508	titare	4	comment	tropp
13518	13525	alexandra_w	4	comment	tropp
13518	13510	HelleBol	4	comment	tropp
13518	13512	HelleBol	4	comment	tropp
13521	13525	alexandra_w	4	comment	tropp
13521	13514	alexandra_w	4	comment	tropp
13521	13522	alexandra_w	4	comment	tropp
13521	13516	titare	4	comment	tropp
13521	13508	alexandra_w	4	comment	tropp
13521	13511	alexandra_w	4	comment	tropp
13521	13516	HelleBol	4	comment	tropp
13521	13510	HelleBol	4	comment	tropp
13521	13515	titare	4	comment	tropp
13521	13517	HelleBol	4	comment	tropp
13521	13519	titare	4	comment	tropp
13521	13516	alexandra_w	4	comment	tropp
13521	13518	titare	4	comment	tropp
13521	13509	HelleBol	4	comment	tropp
13521	13510	alexandra_w	4	comment	tropp
13521	13518	alexandra_w	4	comment	tropp
13521	13522	HelleBol	4	comment	tropp
13507	13508	HelleBol	4	comment	tropp
13507	13513	titare	4	comment	tropp
