lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_3079		- Ah, det er så godt med Wikipedia-sider som fungerer, som Sultan lettet uttrykte det etter å ha googlet fram disse siste tallene. Men ennå fins det ting å bekymre seg for. Som rådgiver i Antirasistisk Senter er han i likhet med Geir Lippestad urolig over at Norge ennå ikke har tatt et skikkelig oppgjør med høyreekstremismen etter 22. juli. - Breiviks tankegods ligger jo der. Skal vi vente på at en annen syk person finner ut at han skal gjøre et eller annet? sier Sultan, som også grøsser over debatten om romfolket.	177:185	0:520	15584	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_13483		Jeg har meldinger fra dine rådgivere og telefonlogger. Loggene viser at jeg ikke har snakket med deg på mange måneder», tvitret journalisten.	27:36	0:141	15590	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_8308		Tyske ThyssenKrupp Marine Systems (TKMS) opplyser til departementet at Bertel O. Steen Industri, med underleverandør First House, er verftets agent og rådgiver. Per Høiby er blant de fire som byrået har spesifisert jobber med ubåtanskaffelsen.	151:159	0:243	15602	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_176		For dette feltet er det helt avgjørende at rådgiverne og rådgivningsorganene søker å leve opp til hovedprinsippet om hjelp til selvhjelp.	43:53	0:137	15585	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_462		Studietempoet kan variere i tid, studenten og rådgiveren avtaler det som passer studenten.	46:56	0:90	15589	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_127		Det er da normalt at rådgivere engasjeres etter timehonorar, f.eks. med kostnadstak.	21:30	0:84	15596	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_286		Slike spørsmål vil imidlertid gjerne bli drøftet i de regelmessige møter mellom regjeringens representanter og Nationalbankens direksjon. Av kapittel V avsnitt 1 og 2 framgår det at Norges Bank tradisjonelt har spilt en viktig rolle som rådgiver for myndighetene i penge-, kreditt- og valutapolitiske spørsmål.	237:245	0:310	15588	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_377		Det årlige vedlikehold av avisopplysninger må uansett modell for samdistribusjonstilskuddet foretas. Utvalget vil imidlertid peke på at dersom man ikke tilfører en distribusjonsfaglig rådgiver til området, så vil omleggingen av samdistribusjonstilskuddet få store administrative konsekvenser for FAD. Det apparat som i dag tar seg av pressestøtten vil ikke kunne klare den økte arbeidmengden uten økt bemanning.	184:192	0:411	15583	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_14748		Ny Trump-rådgiver går av Tom Bossert trekker seg fra sin stilling som rådgiver for innenlands sikkerhet. (Foto: Evan Vucci / AP / NTB scanpix) Sarah Sanders, pressetalsperson i Det hvite hus, sier i en uttalelse tirsdag at Trump er takknemlig for Bosserts innsats for USAs sikkerhet. – Tom ledet arbeidet til Det hvite hus med å beskytte landet fra terrorister, styrke cyberforsvaret og respondere på en rekke med naturkatastrofer vi ikke har sett maken til tidligere.	9:17	0:468	15592	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_8301		Det er regjeringen som skaper tvil og irritasjon både i miljøbeveglsen og oljebransjen med sine utspill, mener Aasland. Politisk rådgiver for Jonas Gahr Støre, Astrid Huitfeldt, sier at Aasland kommenterer saken for Arbeiderpartiet.	129:137	0:232	15598	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_544		Han kan også bestemme at avgjørelser skal fattes av ham, dersom saken er av mer vidtrekkende betydning. Miljøministeren kan på eget initiativ ta opp avgjørelser som er fattet av andre instanser til fornyet vurdering. Miljøstyrelsen er først og fremst rådgiver for miljøministeren og andre myndigheter i spørsmål om beskyttelse av miljøet.	251:259	0:338	15600	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_13203		Blant tiltakene de har foreslått så langt er mer kunnskap om arbeidslivet inn i skolen, og det trengs. Skolebøker i samfunnsfag på videregående vier en halv side til rettigheter i arbeidslivet. Også i den voksne befolkningen er kunnskapen sannsynligvis for dårlig. Spaltist Sigrid Hagerup Melhuus er rådgiver i Tankesmien Agenda.	300:308	0:329	15595	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_6379		Hva kan vaere fritak for overtid? Anne Toril Johnsgaard er juridisk rådgiver i Compendia. FOTO: Anders Minge I bedriften hvor jeg jobber har vi fleksibel arbeidstid og gode kompensasjonsordninger.	67:75	0:195	15599	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_611		Enige med støttegruppe Bård Flaarønning, politisk rådgiver i AUF, minner om at det er enighet om Utøya-markeringen mellom ungdomspartiet og støttegruppen etter terrorangrepene.	50:58	0:176	15591	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_550		Det vil vaere saerlig viktig at administrasjonen kan trekke på nasjonale og internasjonale ressurspersoner som konsulenter og rådgivere og på kompetente personer fra naeringslivet.	124:133	0:177	15597	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_244		Fylkeslandbruksstyret og de naeringspolitiske organisasjoner har også viktige oppgåver i å arbeide for at alle rådgiverne deltar i samordningen og i å klarlegge viktige premisser for samordningen.	110:120	0:195	15603	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_249		Innenfor disse rammer må rådgiverne på fylkesnivå søke å komme fram til en fordeling av oppgåver.	25:35	0:97	15601	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_5577		Navarsetes rådgiver støtter Borten Moe Fuglum var Navarsetes statssekretaer i den rødgrønne regjeringen.	11:19	0:103	15587	nor_dia_change_subset2	no	andrey
rådgiver	NN	1980	1980-1990	1980-1990_rådgiver_380		Disse avdelingene kan da vaere rådgivere for Arbeidstilsynet på deltid. Under Fagfeltet yrkesmedisin i Norge forutsetning av at en gjennom et slik samarbeid kan få til den utbyggingen som er skissert i avsnittet ovenfor, kan arbeidsgruppen gå inn for en slik løsning.	30:39	0:266	15586	nor_dia_change_subset2	no	andrey
rådgiver	NN	2012	2012-2019	2012-2019_rådgiver_7162		(Dagbladet): Fredrik Ulvestad signerer for Premier League-klubben Burnley i dag, meldte Sunnmørsposten tidligere i dag. Dagbladet får nå bekreftet fra sentrale kilder at overgangen skal vaere i boks og at Ulvestad har takket for gratulasjonene han har fått. 22-åringen fra Ålesund er på plass i England sammen med far og rådgiver Rune Ulvestad for å spikre de siste detaljene.	320:328	0:375	15604	nor_dia_change_subset2	no	andrey
