lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
mus	NN	1980	1980-1990	1980-1990_mus_20		Og det var visst - mangfoldig var han: brøt sine tinnsoldater istykker, kastet sten på gåsungene, skar engang opp en hvit mus med en bordkniv.	122:125	0:142	15174	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_17		Er det fri navigering med mus eller annet pekeredskap. 2	26:29	0:56	15167	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_215		Ikke første gang Den svenske avisa Aftonbladet skriver at en flyvertinne og to amerikanske politimenn opplyste at de hadde funnet en mus om bord.	133:136	0:145	15186	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_13		Så lenge sinnssykestempelet forfølger meg, forblir jeg fritt vilt, musen i kattens lek.	38:41	0:87	15169	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_887		Forskere roper nå et varsko til de som har kastet seg på den såkalte 5:2-dietten. Studier som er gjort på mus kan tyde på at periodisk slanking av denne sorten gjør det mer sannsynlig at folk legger på seg enn at de får en varig vektreduksjon. Resultatene viser også at gener i fettvevet som regulerer biologiske rytmer i kroppen blir forstyrret ved slik periodisk slanking.	106:109	0:374	15168	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_24		Ja den er bare min. Han liker å vaere ute når det er mus. Heidi 2A Kyrre 2A Skolen fyl ler 25 år i år. Vi har et av de største klasserom på skolen.	52:55	0:146	15175	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_1777		Dyreforsøk viser at mus som utsettes for ekstremt stress over tid, faktisk dør av det. En annen ting som er vesentlig for hvordan man klarer ekstremsituasjoner, er om man er alene, eller har en eller flere å støtte seg på. – Er du alene, viser all forskning at du lettere gir etter for gruppepress.	20:23	0:298	15171	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_7		Et rimelig antall er 4 eller 5. Eksempelvis kan det nevnes at undertegnede, C, i rapporten blir beskyldt for å ha avlivet 3 mus i ungelegrene på en og samme dag. C hevder bestemt at han bare tok livet av én. I de tilfeller hvor voksne klappmyss hunn ble avlivet, var dette tvingende nødvendig av sikkerhetsmessige grunner, noe som er tillatt i henhold tU forskriftene. Vi vU her understreke at en voksen klappmyss er meget farlig når den går til angrep.	124:127	0:453	15182	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_15		"Når pila peker på et tallkort, holdes knappen på musa nede mens kortet ""slepes"" over skjermen og ned i bøtta."	49:53	0:109	15187	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_1736		I de mange medieoppslagene om sukkeravhengighet er det enten ikke nevnt at det handler om gnagere, eller det blir tatt for gitt at mennesker og mus reagerer likt på sukkermangel.	144:147	0:178	15177	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_1943		Om høsten er både mus og rotter på jakt etter hi.	18:21	0:49	15188	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_1904		Derfor vil bananfluen bygge sine vanlige insektøyne, selv om kommandoen er lånt fra en mus.	87:90	0:91	15172	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_1849		- Jeg så skapninga i kjeften på katta og prøvde å berge den fra henne. Fysj og aesj tenkte jeg da jeg så hva som var på musa, sier hun til Nordlys. Kremert Musen viste seg å vaere naermest oppspist av fire store og to mindre flått. Etter å ha sett en annen mus med lignende innsekt på seg noen uker tidligere, fikk hun et klart råd fra en venninne: brenn den. - Jeg satte fyr på musa.	119:122	0:381	15184	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_4		Da kom der hver natt en liten mus forsiktig henover mitt laken for å finne i mørket sitt lille krus: den spiste av lyset i staken.	30:33	0:130	15179	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_872		- Det blir en absurd form for lotto KAN BLI LUKRATIV: Trikkebyen på Møhlenpris ble oppført i to byggetrinn, og tatt i bruk i 1913 og 1925. FOTO: Jan M. Lillebø (arkiv) BEBOERE: Carl-Åke Karlsson (til v.) og Kåre Fosse flyttet inn i Trikkebyen på Møhlenpris i henholdsvis 1973 og 1991. Katten Xina (helt til venstre) tar knekken på Trikkebyens mus.	343:346	0:347	15170	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_0		Jeg ble uhyre rusa: sola skinte gjennom traerne; jeg ble løftet av silkehender opp i tretoppene, lå der og svaiet og skuet over en fargesprakende klar virkelighet, hadde fullstendig kontroll over verden; noen øyeblikk var jeg en bitte liten mus som raste rundt beina på Freddie og Thomas; i andre reinkarnert i kjøterskikkelser fra Christiania; rom og tid smelta sammen til ett - begrepenes grenser revet bort; drøm og virkelighet ble til enhet - jeg forsto at på trip er alt mulig, og at det er noen mennesker som aldri kommer ned. Da jeg begynte å tenke på det, var det slutten på den rosenrøde deilige rusen: jeg husker bare jeg lå på en rist og ble brent levende.	240:243	0:666	15176	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_1480		Saerlig likte han detektivhistorier, og det hele begynte med at faren hans leste Donald Duck for ham på sengekanten i barndomshjemmet i Bamble. Følg Dagsavisen på Facebook og Twitter! – Jeg likte best historiene om Mikke Mus, med Langbein som sidekick når de hjalp politimester Fiks med å løse krimgåter, forteller den tidligere politietterforskeren Jørn Lier Horst, som nå også har trukket inn i Det gule galleri.	220:223	0:413	15178	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_26		"Fugleplagen kan også reduseres ved effektiv overdekking av avfallet, men er vanske!igere å begrense enn rotter og mus. 72 prosent av ""forurensende"" fyl Unger hadde ikke tilfredsstillende rutiner for utlegging av dekkmasse i 1978/79 (jfr. figur 6.15). Knusing og komprimering av avfall var uti 1 fredsstillende/mindre tilfredsstillende ved 69 prosent av fyllingene 3 ."	114:117	0:367	15180	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_14		Eksempel på et program som bruker direktemanipulerende dialog. Brukeren beveger pila rundt på skjermen ved å foreta tilsvarende bevegelser med musa på bordflaten.	143:147	0:162	15183	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_460		Et naturens drama utspant seg på plena i Sjøveien på Nedre Charlottenlund i Trondheim torsdag. «Gatas skrekk» hadde funnet en mus å «leke» med, men den regnet nok ikke med å selv få en omgang musejuling. «Mus biter katt» I flere runder gikk muse-tøffingen til motangrep på overmakten.	126:129	0:284	15185	nor_dia_change_subset2	no	andrey
mus	NN	2012	2012-2019	2012-2019_mus_2127		En slik musemutant kunne løpe mye raskere og 55 prosent lenger enn vanlige mus.	8:11	0:79	15181	nor_dia_change_subset2	no	andrey
mus	NN	1980	1980-1990	1980-1990_mus_6		Det grenser i øst mot Muserudbekken. Burud 1 I 1666 ble navnet skrevet Muszerud og i 1723 Myserud. Navnet av musi eller mus.	109:112	0:124	15173	nor_dia_change_subset2	no	andrey
