identifier1	identifier2	annotator	judgment	comment	lemma
15174	15188	titare	4	comment	mus
15174	15188	HelleBol	4	comment	mus
15174	15184	alexandra_w	4	comment	mus
15174	15175	alexandra_w	4	comment	mus
15174	15176	alexandra_w	4	comment	mus
15174	15187	titare	1	comment	mus
15174	15170	alexandra_w	4	comment	mus
15174	15180	alexandra_w	4	comment	mus
15174	15179	alexandra_w	4	comment	mus
15174	15184	HelleBol	4	comment	mus
15174	15176	HelleBol	4	comment	mus
15174	15183	titare	1	comment	mus
15174	15171	HelleBol	4	comment	mus
15174	15186	titare	4	comment	mus
15174	15176	titare	4	comment	mus
15174	15179	titare	4	comment	mus
15167	15172	alexandra_w	2	comment	mus
15167	15182	HelleBol	2	comment	mus
15167	15183	HelleBol	4	comment	mus
15167	15186	alexandra_w	2	comment	mus
15167	15185	titare	1	comment	mus
15167	15181	alexandra_w	2	comment	mus
15167	15172	HelleBol	2	comment	mus
15167	15188	alexandra_w	2	comment	mus
15167	15168	titare	1	comment	mus
15167	15183	titare	4	comment	mus
15167	15182	alexandra_w	2	comment	mus
15167	15168	HelleBol	2	comment	mus
15167	15173	HelleBol	2	comment	mus
15167	15171	HelleBol	2	comment	mus
15186	15183	HelleBol	2	comment	mus
15186	15172	alexandra_w	4	comment	mus
15186	15168	titare	4	comment	mus
15186	15184	HelleBol	4	comment	mus
15186	15182	alexandra_w	4	comment	mus
15186	15180	alexandra_w	4	comment	mus
15186	15179	HelleBol	4	comment	mus
15186	15167	titare	1	comment	mus
15186	15187	titare	1	comment	mus
15186	15168	HelleBol	4	comment	mus
15186	15183	titare	1	comment	mus
15186	15176	HelleBol	4	comment	mus
15186	15184	alexandra_w	4	comment	mus
15186	15171	alexandra_w	4	comment	mus
15186	15177	alexandra_w	4	comment	mus
15186	15175	alexandra_w	4	comment	mus
15186	15182	titare	4	comment	mus
15186	15175	HelleBol	0	comment	mus
15186	15177	HelleBol	4	comment	mus
15186	15175	titare	0	comment	mus
15186	15187	alexandra_w	2	comment	mus
15186	15169	titare	3	comment	mus
15169	15182	alexandra_w	4	comment	mus
15169	15188	alexandra_w	4	comment	mus
15169	15171	alexandra_w	4	comment	mus
15169	15178	titare	2	comment	mus
15169	15173	titare	1	comment	mus
15169	15187	alexandra_w	2	comment	mus
15169	15184	titare	3	comment	mus
15169	15167	alexandra_w	2	comment	mus
15169	15182	titare	3	comment	mus
15169	15175	titare	0	comment	mus
15169	15174	titare	4	comment	mus
15169	15187	HelleBol	2	comment	mus
15169	15180	titare	3	comment	mus
15169	15188	HelleBol	4	comment	mus
15169	15186	alexandra_w	4	comment	mus
15169	15170	alexandra_w	4	comment	mus
15169	15174	HelleBol	4	comment	mus
15168	15179	alexandra_w	4	comment	mus
15168	15178	titare	2	comment	mus
15168	15183	alexandra_w	2	comment	mus
15168	15185	HelleBol	4	comment	mus
15168	15183	HelleBol	2	comment	mus
15168	15188	HelleBol	4	comment	mus
15168	15186	alexandra_w	4	comment	mus
15168	15180	titare	4	comment	mus
15168	15185	titare	4	comment	mus
15168	15169	HelleBol	4	comment	mus
15168	15184	HelleBol	4	comment	mus
15168	15176	HelleBol	4	comment	mus
15168	15172	HelleBol	4	comment	mus
15168	15174	alexandra_w	4	comment	mus
15168	15176	alexandra_w	4	comment	mus
15168	15185	alexandra_w	4	comment	mus
15168	15175	HelleBol	0	comment	mus
15168	15188	alexandra_w	4	comment	mus
15168	15171	HelleBol	4	comment	mus
15168	15184	alexandra_w	4	comment	mus
15168	15172	titare	4	comment	mus
15168	15182	alexandra_w	4	comment	mus
