identifier1	identifier2	annotator	judgment	comment	lemma
15523	15536	alexandra_w	4	comment	særforbund
15523	15537	titare	4	comment	særforbund
15523	15519	alexandra_w	4	comment	særforbund
15523	15536	titare	4	comment	særforbund
15523	15525	titare	4	comment	særforbund
15523	15537	alexandra_w	4	comment	særforbund
15523	15529	titare	4	comment	særforbund
15523	15524	alexandra_w	4	comment	særforbund
15523	15522	HelleBol	4	comment	særforbund
15523	15526	alexandra_w	4	comment	særforbund
15523	15525	alexandra_w	4	comment	særforbund
15523	15531	alexandra_w	4	comment	særforbund
15523	15524	titare	4	comment	særforbund
15523	15528	alexandra_w	4	comment	særforbund
15523	15534	HelleBol	4	comment	særforbund
15523	15517	alexandra_w	4	comment	særforbund
15522	15532	HelleBol	4	comment	særforbund
15522	15525	HelleBol	4	comment	særforbund
15522	15528	alexandra_w	4	comment	særforbund
15522	15519	alexandra_w	4	comment	særforbund
15522	15535	titare	4	comment	særforbund
15522	15529	alexandra_w	4	comment	særforbund
15522	15529	titare	4	comment	særforbund
15522	15530	alexandra_w	4	comment	særforbund
15522	15524	alexandra_w	4	comment	særforbund
15522	15523	alexandra_w	4	comment	særforbund
15522	15533	HelleBol	4	comment	særforbund
15522	15525	titare	4	comment	særforbund
15522	15530	titare	4	comment	særforbund
15522	15517	titare	4	comment	særforbund
15522	15517	alexandra_w	4	comment	særforbund
15522	15521	alexandra_w	4	comment	særforbund
15535	15521	HelleBol	4	comment	særforbund
15535	15525	alexandra_w	4	comment	særforbund
15535	15538	alexandra_w	4	comment	særforbund
15535	15518	alexandra_w	4	comment	særforbund
15535	15531	alexandra_w	4	comment	særforbund
15535	15538	titare	4	comment	særforbund
15535	15532	alexandra_w	4	comment	særforbund
15535	15527	alexandra_w	4	comment	særforbund
15535	15527	titare	4	comment	særforbund
15535	15522	alexandra_w	4	comment	særforbund
15535	15523	alexandra_w	4	comment	særforbund
15535	15517	alexandra_w	4	comment	særforbund
15535	15519	alexandra_w	4	comment	særforbund
15535	15526	alexandra_w	4	comment	særforbund
15518	15526	titare	4	comment	særforbund
15518	15529	alexandra_w	4	comment	særforbund
15518	15517	titare	4	comment	særforbund
15518	15522	alexandra_w	4	comment	særforbund
15518	15527	alexandra_w	4	comment	særforbund
15518	15533	HelleBol	4	comment	særforbund
15518	15521	titare	4	comment	særforbund
15518	15533	alexandra_w	4	comment	særforbund
15518	15523	HelleBol	4	comment	særforbund
15518	15525	alexandra_w	4	comment	særforbund
15518	15517	alexandra_w	4	comment	særforbund
15518	15523	alexandra_w	4	comment	særforbund
15518	15538	titare	4	comment	særforbund
15518	15534	alexandra_w	4	comment	særforbund
15518	15526	HelleBol	4	comment	særforbund
15518	15527	titare	4	comment	særforbund
15518	15524	titare	4	comment	særforbund
15518	15538	alexandra_w	4	comment	særforbund
15518	15523	titare	4	comment	særforbund
15529	15521	alexandra_w	4	comment	særforbund
15529	15535	HelleBol	4	comment	særforbund
15529	15517	titare	4	comment	særforbund
15529	15527	alexandra_w	4	comment	særforbund
15529	15517	alexandra_w	4	comment	særforbund
15529	15528	titare	4	comment	særforbund
15529	15518	titare	4	comment	særforbund
15529	15522	HelleBol	4	comment	særforbund
15529	15533	HelleBol	4	comment	særforbund
15529	15535	titare	4	comment	særforbund
15529	15534	titare	4	comment	særforbund
15529	15519	alexandra_w	4	comment	særforbund
15529	15524	alexandra_w	4	comment	særforbund
15529	15532	HelleBol	4	comment	særforbund
15529	15524	HelleBol	4	comment	særforbund
15529	15527	HelleBol	4	comment	særforbund
15529	15537	alexandra_w	4	comment	særforbund
15529	15530	alexandra_w	4	comment	særforbund
15529	15535	alexandra_w	4	comment	særforbund
15529	15534	alexandra_w	4	comment	særforbund
15529	15523	alexandra_w	4	comment	særforbund
15526	15537	titare	4	comment	særforbund
15526	15524	titare	4	comment	særforbund
15526	15534	alexandra_w	4	comment	særforbund
15526	15520	alexandra_w	4	comment	særforbund
15526	15518	alexandra_w	4	comment	særforbund
15526	15528	titare	4	comment	særforbund
15526	15536	alexandra_w	4	comment	særforbund
15526	15522	alexandra_w	4	comment	særforbund
15526	15529	alexandra_w	4	comment	særforbund
15526	15521	HelleBol	4	comment	særforbund
15526	15517	titare	4	comment	særforbund
15526	15522	HelleBol	4	comment	særforbund
15526	15525	HelleBol	4	comment	særforbund
15526	15529	HelleBol	4	comment	særforbund
15526	15530	alexandra_w	4	comment	særforbund
15526	15527	titare	4	comment	særforbund
15532	15529	alexandra_w	4	comment	særforbund
15532	15523	alexandra_w	4	comment	særforbund
15532	15517	titare	4	comment	særforbund
15532	15535	HelleBol	4	comment	særforbund
15532	15518	HelleBol	4	comment	særforbund
15532	15528	titare	4	comment	særforbund
15532	15528	alexandra_w	4	comment	særforbund
15532	15523	titare	4	comment	særforbund
15532	15530	alexandra_w	4	comment	særforbund
15532	15524	titare	4	comment	særforbund
15532	15534	titare	4	comment	særforbund
15532	15526	titare	4	comment	særforbund
15532	15519	titare	4	comment	særforbund
15532	15533	HelleBol	4	comment	særforbund
15532	15518	alexandra_w	4	comment	særforbund
15532	15520	alexandra_w	4	comment	særforbund
15532	15526	alexandra_w	4	comment	særforbund
15532	15519	HelleBol	4	comment	særforbund
15532	15538	alexandra_w	4	comment	særforbund
15532	15529	titare	4	comment	særforbund
15532	15519	alexandra_w	4	comment	særforbund
15532	15521	titare	4	comment	særforbund
15532	15523	HelleBol	4	comment	særforbund
15525	15536	HelleBol	4	comment	særforbund
15525	15527	HelleBol	4	comment	særforbund
15525	15537	alexandra_w	4	comment	særforbund
15525	15524	titare	4	comment	særforbund
15525	15533	alexandra_w	4	comment	særforbund
15525	15517	alexandra_w	4	comment	særforbund
15525	15522	alexandra_w	4	comment	særforbund
15525	15521	alexandra_w	4	comment	særforbund
15525	15526	titare	4	comment	særforbund
15525	15532	alexandra_w	4	comment	særforbund
15525	15520	HelleBol	4	comment	særforbund
15525	15520	alexandra_w	4	comment	særforbund
15525	15523	HelleBol	4	comment	særforbund
15525	15535	HelleBol	4	comment	særforbund
15525	15528	alexandra_w	4	comment	særforbund
15525	15529	alexandra_w	4	comment	særforbund
15525	15532	titare	4	comment	særforbund
15525	15519	HelleBol	4	comment	særforbund
15525	15530	HelleBol	4	comment	særforbund
15525	15527	titare	4	comment	særforbund
15525	15535	titare	4	comment	særforbund
15533	15528	titare	4	comment	særforbund
15533	15522	titare	4	comment	særforbund
15533	15535	HelleBol	4	comment	særforbund
15533	15532	titare	4	comment	særforbund
15533	15523	alexandra_w	4	comment	særforbund
15533	15536	alexandra_w	4	comment	særforbund
15533	15526	alexandra_w	4	comment	særforbund
15533	15527	alexandra_w	4	comment	særforbund
15533	15528	alexandra_w	4	comment	særforbund
15533	15524	alexandra_w	4	comment	særforbund
15533	15520	titare	4	comment	særforbund
15533	15522	alexandra_w	4	comment	særforbund
15533	15535	alexandra_w	4	comment	særforbund
15533	15525	HelleBol	4	comment	særforbund
15533	15538	alexandra_w	4	comment	særforbund
15533	15518	titare	4	comment	særforbund
15533	15530	titare	4	comment	særforbund
15533	15529	alexandra_w	4	comment	særforbund
15533	15520	alexandra_w	4	comment	særforbund
15533	15532	alexandra_w	4	comment	særforbund
15533	15534	alexandra_w	4	comment	særforbund
15533	15523	HelleBol	4	comment	særforbund
15533	15527	titare	4	comment	særforbund
15533	15521	HelleBol	4	comment	særforbund
15533	15538	titare	4	comment	særforbund
15533	15524	HelleBol	4	comment	særforbund
15533	15517	alexandra_w	4	comment	særforbund
15536	15521	alexandra_w	4	comment	særforbund
15536	15528	alexandra_w	4	comment	særforbund
15536	15518	titare	4	comment	særforbund
15536	15520	alexandra_w	4	comment	særforbund
15536	15523	HelleBol	4	comment	særforbund
15536	15530	alexandra_w	4	comment	særforbund
15536	15528	HelleBol	4	comment	særforbund
15536	15535	titare	4	comment	særforbund
15536	15525	alexandra_w	4	comment	særforbund
15536	15519	titare	4	comment	særforbund
15536	15537	alexandra_w	4	comment	særforbund
15536	15529	HelleBol	4	comment	særforbund
15536	15517	alexandra_w	4	comment	særforbund
15536	15525	titare	4	comment	særforbund
15536	15529	alexandra_w	4	comment	særforbund
15536	15532	HelleBol	4	comment	særforbund
15536	15530	titare	4	comment	særforbund
15536	15522	alexandra_w	4	comment	særforbund
15536	15518	HelleBol	4	comment	særforbund
