identifier1	identifier2	annotator	judgment	comment	lemma
15486	15491	titare	2	comment	vert
15486	15474	alexandra_w	0	comment	vert
15486	15479	alexandra_w	4	comment	vert
15486	15488	alexandra_w	4	comment	vert
15486	15489	alexandra_w	0	comment	vert
15486	15481	HelleBol	4	comment	vert
15486	15491	HelleBol	3	comment	vert
15486	15475	titare	3	comment	vert
15486	15494	HelleBol	3	comment	vert
15486	15493	alexandra_w	4	comment	vert
15486	15476	HelleBol	0	comment	vert
15486	15475	alexandra_w	3	comment	vert
15480	15485	titare	0	comment	vert
15480	15486	titare	0	comment	vert
15480	15490	alexandra_w	0	comment	vert
15480	15494	HelleBol	0	comment	vert
15480	15485	HelleBol	0	comment	vert
15480	15478	titare	0	comment	vert
15480	15482	alexandra_w	0	comment	vert
15480	15489	alexandra_w	0	comment	vert
15480	15494	titare	0	comment	vert
15480	15488	alexandra_w	0	comment	vert
15480	15481	alexandra_w	0	comment	vert
15480	15481	HelleBol	0	comment	vert
15480	15484	titare	0	comment	vert
15480	15474	alexandra_w	0	comment	vert
15480	15473	alexandra_w	0	comment	vert
15480	15488	titare	0	comment	vert
15480	15486	alexandra_w	0	comment	vert
15480	15482	titare	0	comment	vert
15489	15479	titare	0	comment	vert
15489	15490	alexandra_w	0	comment	vert
15489	15493	titare	0	comment	vert
15489	15481	titare	0	comment	vert
15489	15484	titare	0	comment	vert
15489	15480	titare	0	comment	vert
15489	15485	titare	0	comment	vert
15489	15492	HelleBol	0	comment	vert
15489	15479	HelleBol	0	comment	vert
15489	15484	HelleBol	0	comment	vert
15489	15494	HelleBol	0	comment	vert
15489	15473	alexandra_w	0	comment	vert
15489	15478	HelleBol	0	comment	vert
15489	15474	HelleBol	0	comment	vert
15489	15482	HelleBol	0	comment	vert
15476	15491	HelleBol	0	comment	vert
15476	15478	titare	0	comment	vert
15476	15473	HelleBol	0	comment	vert
15476	15487	HelleBol	0	comment	vert
15476	15494	HelleBol	0	comment	vert
15476	15487	titare	0	comment	vert
15476	15488	alexandra_w	0	comment	vert
15476	15494	alexandra_w	0	comment	vert
15476	15489	alexandra_w	0	comment	vert
15476	15478	HelleBol	0	comment	vert
15476	15480	titare	0	comment	vert
15476	15490	alexandra_w	0	comment	vert
15476	15493	titare	0	comment	vert
15476	15480	alexandra_w	0	comment	vert
15476	15482	alexandra_w	0	comment	vert
15490	15488	titare	4	comment	vert
15490	15492	alexandra_w	0	comment	vert
15490	15473	alexandra_w	4	comment	vert
15490	15487	titare	0	comment	vert
15490	15473	titare	4	comment	vert
15490	15483	HelleBol	0	comment	vert
15490	15481	titare	4	comment	vert
15490	15491	HelleBol	4	comment	vert
15490	15493	titare	2	comment	vert
15490	15494	alexandra_w	3	comment	vert
15490	15486	alexandra_w	4	comment	vert
15490	15488	alexandra_w	4	comment	vert
15475	15482	HelleBol	0	comment	vert
15475	15487	alexandra_w	0	comment	vert
15475	15490	alexandra_w	3	comment	vert
15475	15479	titare	2	comment	vert
15475	15476	titare	0	comment	vert
15475	15484	alexandra_w	0	comment	vert
15475	15491	titare	4	comment	vert
15475	15480	alexandra_w	0	comment	vert
15475	15494	HelleBol	0	comment	vert
15475	15486	HelleBol	0	comment	vert
15475	15477	alexandra_w	3	comment	vert
15475	15489	alexandra_w	0	comment	vert
15475	15482	alexandra_w	3	comment	vert
15475	15487	titare	0	comment	vert
15475	15477	titare	0	comment	vert
15475	15494	alexandra_w	4	comment	vert
15473	15488	titare	4	comment	vert
15473	15475	titare	2	comment	vert
15473	15475	alexandra_w	0	comment	vert
15473	15491	HelleBol	3	comment	vert
15473	15481	HelleBol	4	comment	vert
15473	15480	titare	0	comment	vert
15473	15476	titare	0	comment	vert
15473	15481	titare	4	comment	vert
15473	15479	alexandra_w	4	comment	vert
15473	15490	HelleBol	4	comment	vert
15473	15487	titare	0	comment	vert
15473	15479	titare	4	comment	vert
15473	15487	HelleBol	0	comment	vert
15473	15481	alexandra_w	4	comment	vert
15473	15484	titare	0	comment	vert
15473	15477	alexandra_w	4	comment	vert
15473	15479	HelleBol	4	comment	vert
15473	15487	alexandra_w	0	comment	vert
15488	15489	HelleBol	0	comment	vert
15488	15492	titare	2	comment	vert
15488	15485	titare	2	comment	vert
15488	15491	HelleBol	3	comment	vert
15488	15483	alexandra_w	0	comment	vert
15488	15485	HelleBol	3	comment	vert
15488	15489	alexandra_w	0	comment	vert
15488	15481	HelleBol	4	comment	vert
15488	15490	HelleBol	4	comment	vert
15478	15493	HelleBol	0	comment	vert
15478	15475	HelleBol	0	comment	vert
15478	15486	HelleBol	4	comment	vert
15478	15481	titare	4	comment	vert
15478	15488	alexandra_w	4	comment	vert
15478	15484	HelleBol	0	comment	vert
15478	15480	HelleBol	0	comment	vert
15478	15494	titare	3	comment	vert
15478	15483	HelleBol	0	comment	vert
15478	15491	alexandra_w	3	comment	vert
15478	15483	alexandra_w	0	comment	vert
15478	15489	titare	0	comment	vert
15478	15494	HelleBol	3	comment	vert
15478	15488	titare	4	comment	vert
15478	15488	HelleBol	4	comment	vert
15478	15486	alexandra_w	4	comment	vert
15493	15487	HelleBol	0	comment	vert
15493	15486	titare	2	comment	vert
