lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
vindu	NN	1980	1980-1990	1980-1990_vindu_37		Han solgte også biletter gjennom et lite vindu i verkstedet.	41:46	0:60	15277	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_3486		Hotellets eget spa -og helsesenter i 18. etasje har store vinduer som går fra gulv til tak.	58:65	0:91	15288	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_61		Så kom den digre elefanten, så en gittervogn med gråbeiner, og tilsidst en slaede fuld av kjaerringer og unger. —- Ja, det var mye liv på veiene i markenstiden. Ola lå i vinduet dagen lang og varslet når no rart var i syne. Der kom lange raekker av hallinger og valdrisser kjørende i slindeslaedene sine. De var slemme nok å møte mangen gang disse dølene, eftersom folk fortalte - det var tryggest å holde sig av veien for dem. Han fik da merke det han gamle Tollov på Berget: Han kom ruslendes stor og bred med en bundt sopelimer på ryggen.	168:175	0:537	15283	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_137		Grove tyverier omfatter de tyverier hvor lovbryteren må forsere en hindring for å nå godset, for eksempel bryte opp en dør eller knuse et vindu.	138:143	0:144	15286	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_211		- Utenfor vinduet lekte to bredbygde småpiker med «kjemper», og for hver gang et blomsterhode falt, lo de himmelhøit av glede: «Jeg vant!» «Nei, jeg!» «Nei, jeg!» «Hahaha - å Gyrilda, vi tapte begge.»	10:17	0:200	15287	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_7384		Innbruddet skjedde ved at tyvene knuste et vindu i kafeen i kjøpesenteret.	43:48	0:74	15297	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_12069		Rundt boligen er det satt opp et gjerde, og både døra og vinduene er teipet igjen. En nabo forteller Dagbladet at det har vaert stort politioppbud rundt leiligheten både lørdag og søndag i helga som var. Politiaksjon Bakgrunnen er at det forrige uke var en politiaksjon i samme leilighet.	57:65	0:287	15284	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_12		Her er det oftest for kaldt til å gå og sette seg i en park med en god bok og slappe av. «Vi sitter og ser ut av vinduet - lengter etter Vietnam og gråter.»	113:120	0:156	15285	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_266		Portene av jern, men med små kottdører ved siden, hvorigjennom menigheten kunne smutte ut og inn. Og så falt det nok litt underlig å se, hvordan der i den trange gate, skygget av gudshuset, side om side lå butikker, i hvis vinduer hvite ornater med røde kors høytidelig og ostentativt pranget, og butikker, hvorfra det lyste lettsindig i småflasker fylt med røde likører og uekte essenser - og oppmed kirkeveggen var klistret plakater om vaerelser tilleie.	223:230	0:455	15279	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_7348		- Den gang var det noen som hadde gått løs på vinduet og gitt det 6-7 slag. Vinduet hadde ikke knust annet enn på innsiden av ruta, der glasset ikke er pansret, sier Friis. - Det er absolutt ikke morsomt.	46:53	0:204	15289	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_11529		Når døren lukkes, åpnes et vindu Handlingen i Marianne Storbergs nye roman, «Eplehagen», er lagt til Christiania by og til en prestegård i Asker i tida rundt skjebneåret 1814. Annonse Annonse – Jeg hadde lyst å skrive en fortelling som viser at livet er fullt av tilfeldigheter som tar oss i retninger vi ikke ville valgt, men som det likevel kan komme mye godt ut av. Noe lyst og fortrøstningsfullt, sier Marianne Storberg til Dagsavisen.	27:32	0:439	15281	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_76		Videre var det i huset to kamre, hvert med et lite vindu som var i stykker. Utenfor stuedøren var det en sval, og på nordenden av huset var det en tilbygd 21 - Hof Bygdebok II 09 1 tømret vedskåle.	51:56	0:197	15292	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_6		Den andre kom seg også ut av et vindu som stod åpent og som vendte ut mot livbåtstasjon 1 og 2. 14 mann av de som oppholdt seg i den lille kinosalen, ble reddet. I messa var det fremdeles middagsservering og trolig ca. 48 personer til stede. Noen var ferdige med å spise, men satt og pratet.	32:37	0:291	15295	nor_dia_change_subset2	no	andrey
vindu	NN	1980	1980-1990	1980-1990_vindu_248		Midt på gulvet stod et langt bord med høye smale glass imellom papirer og tykke bøker. - Jens lyste dit bort - det flimret i glassene, rødt, grønt, gult; men ingen ting var veltet eller ugreid så det ut for. Gammeln ruslet derpå hen til første vindu - det var ordentlig lukket med alle kroker - og så til annet og tredje vindu, som også fantes å vaere i full orden, og alt imens han gikk fremover, glemte han ikke å la lysskjaeret gli hen over vegghyllene, hvor det stod og lå så meget forskjellig både i grå innpakning og i flakonger og beholdere av alle mulige størrelser og fasonger - om noen ting skulle vaere revet ned; men også der syntes allting urørt. Og Jens Vaktmann var på denne måte vel nådd frem til fjerde vindu, da han fikk øye på et papir som lå på gulvet - og han bøyde seg for å ta papiret opp, men tok da til sin forbauselse i bare planken - og idet han reiser seg, ser han at det står en mann ved bordet og steller med kjemikalieglassene.	244:249	0:955	15296	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_654		Der møtte han i stedet en mor med tre mindreårige barn. De ble så redde at de flyktet til en nabo gjennom et vindu.	109:114	0:115	15298	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_3421		Rommet er sterilt innredet, uten pynt eller bilder på veggene, kun med et nattbord ved siden av sengen og et vindu mot Norheimsund.	109:114	0:131	15280	nor_dia_change_subset2	no	andrey
vindu	NN	2012	2012-2019	2012-2019_vindu_16144		Forholder seg rolig Rosenborg-trener Kåre Ingebrigtsen tar den angivelse interessen med knusende ro, og mener det er naturlig at ryktene dukker opp nå. – Når vinduet nå er i ferd med å stenge i Kina, skjønte jeg at det kom til å bli sånn rundt Nicklas. Jeg forholder meg helt rolig til det, sier han til Adresseavisen.	158:165	0:318	15294	nor_dia_change_subset2	no	andrey
