identifier1	identifier2	annotator	judgment	comment	lemma
13659	13668	alexandra_w	2	comment	landet
13659	13674	alexandra_w	1	comment	landet
13659	13678	alexandra_w	1	comment	landet
13659	13662	titare	1	comment	landet
13659	13679	alexandra_w	1	comment	landet
13659	13676	HelleBol	3	comment	landet
13659	13671	titare	1	comment	landet
13659	13672	titare	4	comment	landet
13659	13663	titare	1	comment	landet
13659	13666	titare	1	comment	landet
13659	13674	titare	1	comment	landet
13659	13674	HelleBol	3	comment	landet
13659	13673	alexandra_w	1	comment	landet
13659	13666	alexandra_w	1	comment	landet
13659	13660	titare	1	comment	landet
13659	13664	HelleBol	3	comment	landet
13659	13677	titare	1	comment	landet
13659	13661	titare	1	comment	landet
13659	13661	HelleBol	3	comment	landet
13659	13661	alexandra_w	0	comment	landet
13659	13670	titare	1	comment	landet
13678	13664	alexandra_w	4	comment	landet
13678	13663	titare	4	comment	landet
13678	13677	titare	4	comment	landet
13678	13680	alexandra_w	4	comment	landet
13678	13679	titare	4	comment	landet
13678	13680	HelleBol	4	comment	landet
13678	13665	alexandra_w	4	comment	landet
13678	13672	HelleBol	4	comment	landet
13678	13661	titare	4	comment	landet
13678	13671	alexandra_w	4	comment	landet
13678	13662	HelleBol	4	comment	landet
13678	13669	titare	4	comment	landet
13663	13675	HelleBol	4	comment	landet
13663	13673	titare	4	comment	landet
13663	13659	HelleBol	3	comment	landet
13663	13678	alexandra_w	4	comment	landet
13663	13670	alexandra_w	4	comment	landet
13663	13664	alexandra_w	4	comment	landet
13663	13676	HelleBol	4	comment	landet
13663	13659	alexandra_w	1	comment	landet
13663	13680	alexandra_w	4	comment	landet
13663	13664	HelleBol	4	comment	landet
13663	13662	titare	4	comment	landet
13663	13670	HelleBol	4	comment	landet
13663	13661	HelleBol	4	comment	landet
13663	13674	titare	4	comment	landet
13663	13661	titare	4	comment	landet
13663	13670	titare	4	comment	landet
13666	13673	titare	4	comment	landet
13666	13671	titare	4	comment	landet
13666	13663	titare	4	comment	landet
13666	13670	alexandra_w	4	comment	landet
13666	13665	alexandra_w	4	comment	landet
13666	13674	alexandra_w	4	comment	landet
13666	13673	HelleBol	4	comment	landet
13666	13661	titare	4	comment	landet
13666	13672	alexandra_w	1	comment	landet
13666	13660	HelleBol	3	comment	landet
13666	13677	titare	4	comment	landet
13666	13676	HelleBol	4	comment	landet
13666	13659	HelleBol	3	comment	landet
13666	13672	HelleBol	4	comment	landet
13666	13660	titare	1	comment	landet
13666	13662	titare	4	comment	landet
13666	13673	alexandra_w	4	comment	landet
13672	13663	alexandra_w	1	comment	landet
13672	13667	titare	1	comment	landet
13672	13669	HelleBol	4	comment	landet
13672	13676	titare	1	comment	landet
13672	13675	titare	0	comment	landet
13672	13660	HelleBol	3	comment	landet
13672	13669	titare	1	comment	landet
13672	13667	alexandra_w	1	comment	landet
13672	13659	alexandra_w	1	comment	landet
13672	13666	titare	1	comment	landet
13672	13669	alexandra_w	1	comment	landet
13672	13668	alexandra_w	1	comment	landet
13672	13664	titare	1	comment	landet
13672	13660	titare	1	comment	landet
13672	13677	alexandra_w	1	comment	landet
13672	13668	titare	1	comment	landet
13672	13673	alexandra_w	1	comment	landet
13664	13666	HelleBol	4	comment	landet
13664	13666	alexandra_w	4	comment	landet
13664	13665	titare	4	comment	landet
13664	13671	HelleBol	4	comment	landet
13664	13672	HelleBol	4	comment	landet
13664	13660	alexandra_w	1	comment	landet
13664	13677	titare	4	comment	landet
13664	13661	titare	4	comment	landet
13664	13662	titare	4	comment	landet
13664	13679	HelleBol	4	comment	landet
13664	13678	HelleBol	4	comment	landet
13664	13670	alexandra_w	4	comment	landet
13664	13675	alexandra_w	4	comment	landet
13664	13671	titare	4	comment	landet
13664	13674	alexandra_w	4	comment	landet
13664	13669	titare	4	comment	landet
13664	13659	titare	1	comment	landet
13664	13667	HelleBol	4	comment	landet
13664	13680	titare	4	comment	landet
13664	13662	alexandra_w	4	comment	landet
13664	13668	alexandra_w	1	comment	landet
13664	13662	HelleBol	4	comment	landet
13664	13669	alexandra_w	4	comment	landet
13668	13674	titare	1	comment	landet
13668	13663	alexandra_w	1	comment	landet
13668	13663	titare	1	comment	landet
13668	13671	titare	1	comment	landet
13668	13678	HelleBol	3	comment	landet
13668	13660	alexandra_w	4	comment	landet
13668	13674	HelleBol	3	comment	landet
13668	13678	alexandra_w	1	comment	landet
13668	13679	HelleBol	3	comment	landet
13668	13666	alexandra_w	4	comment	landet
13668	13676	HelleBol	3	comment	landet
13668	13669	alexandra_w	1	comment	landet
13668	13662	titare	1	comment	landet
13668	13676	alexandra_w	1	comment	landet
13668	13665	alexandra_w	1	comment	landet
13680	13669	titare	4	comment	landet
13680	13664	alexandra_w	4	comment	landet
13680	13660	titare	1	comment	landet
13680	13673	titare	4	comment	landet
13680	13659	titare	1	comment	landet
13680	13677	HelleBol	4	comment	landet
13680	13668	HelleBol	3	comment	landet
13680	13674	titare	4	comment	landet
13680	13666	alexandra_w	4	comment	landet
13680	13678	titare	4	comment	landet
13680	13665	alexandra_w	4	comment	landet
13680	13676	HelleBol	4	comment	landet
13680	13672	HelleBol	4	comment	landet
13680	13669	alexandra_w	4	comment	landet
13680	13659	alexandra_w	4	comment	landet
13680	13670	alexandra_w	4	comment	landet
13674	13670	alexandra_w	4	comment	landet
13674	13677	HelleBol	4	comment	landet
13674	13680	HelleBol	4	comment	landet
13674	13661	HelleBol	4	comment	landet
13674	13675	alexandra_w	4	comment	landet
13674	13678	HelleBol	4	comment	landet
13674	13660	HelleBol	3	comment	landet
13674	13660	alexandra_w	1	comment	landet
13674	13675	HelleBol	4	comment	landet
13674	13666	titare	4	comment	landet
13674	13671	alexandra_w	4	comment	landet
13669	13663	titare	4	comment	landet
13669	13670	alexandra_w	4	comment	landet
13669	13673	HelleBol	4	comment	landet
13669	13664	HelleBol	4	comment	landet
13669	13674	titare	4	comment	landet
13669	13676	HelleBol	4	comment	landet
13669	13675	alexandra_w	4	comment	landet
13669	13661	alexandra_w	4	comment	landet
13669	13677	titare	4	comment	landet
13669	13660	HelleBol	3	comment	landet
13669	13670	titare	4	comment	landet
13669	13661	titare	4	comment	landet
13669	13659	alexandra_w	1	comment	landet
13669	13678	HelleBol	4	comment	landet
13669	13665	alexandra_w	4	comment	landet
13669	13676	titare	4	comment	landet
13669	13666	alexandra_w	4	comment	landet
13662	13680	HelleBol	4	comment	landet
13662	13668	alexandra_w	1	comment	landet
13662	13674	alexandra_w	1	comment	landet
13662	13675	alexandra_w	4	comment	landet
13662	13671	titare	4	comment	landet
13662	13659	HelleBol	3	comment	landet
13662	13677	HelleBol	4	comment	landet
13662	13660	HelleBol	3	comment	landet
13662	13676	alexandra_w	4	comment	landet
13662	13678	alexandra_w	4	comment	landet
13662	13673	HelleBol	4	comment	landet
13662	13679	HelleBol	4	comment	landet
13662	13672	alexandra_w	1	comment	landet
13662	13660	alexandra_w	4	comment	landet
13662	13665	alexandra_w	4	comment	landet
13662	13667	titare	4	comment	landet
13662	13670	alexandra_w	4	comment	landet
13662	13678	titare	4	comment	landet
13662	13673	alexandra_w	3	comment	landet
13662	13666	alexandra_w	4	comment	landet
13662	13677	alexandra_w	4	comment	landet
13662	13672	titare	0	comment	landet
13662	13680	alexandra_w	4	comment	landet
13675	13676	HelleBol	4	comment	landet
13675	13670	alexandra_w	4	comment	landet
13675	13668	alexandra_w	1	comment	landet
13675	13679	alexandra_w	3	comment	landet
13675	13674	titare	4	comment	landet
13675	13673	alexandra_w	4	comment	landet
13675	13679	HelleBol	4	comment	landet
13675	13671	titare	4	comment	landet
13675	13666	titare	4	comment	landet
13675	13670	titare	4	comment	landet
13675	13680	alexandra_w	4	comment	landet
13675	13667	titare	4	comment	landet
13675	13659	alexandra_w	1	comment	landet
13675	13671	alexandra_w	4	comment	landet
13675	13666	alexandra_w	4	comment	landet
13675	13662	titare	4	comment	landet
13670	13664	HelleBol	4	comment	landet
13670	13668	alexandra_w	2	comment	landet
13670	13659	HelleBol	3	comment	landet
13670	13661	titare	4	comment	landet
13670	13674	HelleBol	4	comment	landet
13670	13679	alexandra_w	4	comment	landet
13670	13674	titare	0	comment	landet
13670	13666	titare	4	comment	landet
13670	13660	alexandra_w	2	comment	landet
13670	13672	titare	1	comment	landet
13670	13680	HelleBol	4	comment	landet
13670	13675	HelleBol	4	comment	landet
13673	13671	titare	4	comment	landet
13673	13675	titare	4	comment	landet
13673	13672	HelleBol	4	comment	landet
13673	13664	titare	4	comment	landet
13673	13678	titare	4	comment	landet
13673	13668	alexandra_w	1	comment	landet
13673	13672	titare	0	comment	landet
13673	13660	titare	1	comment	landet
13673	13660	HelleBol	3	comment	landet
13673	13664	HelleBol	4	comment	landet
13673	13674	titare	0	comment	landet
13673	13659	HelleBol	3	comment	landet
13673	13664	alexandra_w	4	comment	landet
13673	13679	alexandra_w	4	comment	landet
13673	13680	HelleBol	4	comment	landet
13673	13668	titare	1	comment	landet
13673	13669	titare	4	comment	landet
13673	13661	HelleBol	4	comment	landet
13665	13674	alexandra_w	4	comment	landet
13665	13679	titare	4	comment	landet
13665	13669	HelleBol	4	comment	landet
13665	13672	HelleBol	4	comment	landet
13665	13676	alexandra_w	4	comment	landet
13665	13673	HelleBol	4	comment	landet
13665	13671	alexandra_w	4	comment	landet
13665	13662	HelleBol	4	comment	landet
13665	13666	titare	4	comment	landet
13665	13675	alexandra_w	4	comment	landet
13665	13672	alexandra_w	1	comment	landet
13665	13664	alexandra_w	4	comment	landet
13665	13674	titare	0	comment	landet
13665	13661	alexandra_w	4	comment	landet
13679	13674	HelleBol	4	comment	landet
13679	13662	alexandra_w	3	comment	landet
13679	13673	HelleBol	4	comment	landet
13679	13667	HelleBol	4	comment	landet
13679	13676	alexandra_w	3	comment	landet
13679	13680	HelleBol	4	comment	landet
13679	13663	titare	4	comment	landet
13679	13660	alexandra_w	1	comment	landet
13679	13667	titare	4	comment	landet
13679	13665	alexandra_w	4	comment	landet
13679	13661	alexandra_w	4	comment	landet
13679	13666	alexandra_w	4	comment	landet
13679	13680	alexandra_w	4	comment	landet
13679	13668	titare	1	comment	landet
13679	13674	titare	4	comment	landet
13679	13659	titare	1	comment	landet
13679	13674	alexandra_w	3	comment	landet
13667	13680	HelleBol	4	comment	landet
13667	13669	alexandra_w	4	comment	landet
13667	13668	alexandra_w	1	comment	landet
13667	13675	alexandra_w	4	comment	landet
13667	13665	alexandra_w	4	comment	landet
13667	13659	HelleBol	3	comment	landet
13667	13662	alexandra_w	4	comment	landet
13667	13674	alexandra_w	4	comment	landet
13667	13671	titare	4	comment	landet
13667	13669	titare	4	comment	landet
13667	13661	titare	4	comment	landet
13667	13663	alexandra_w	4	comment	landet
13667	13668	HelleBol	3	comment	landet
13667	13676	HelleBol	4	comment	landet
13667	13671	alexandra_w	0	comment	landet
13667	13678	alexandra_w	4	comment	landet
13667	13680	alexandra_w	4	comment	landet
13667	13675	HelleBol	4	comment	landet
13667	13677	titare	4	comment	landet
