identifier1	identifier2	annotator	judgment	comment	lemma
14768	14759	titare	0	comment	tjener
14768	14763	titare	0	comment	tjener
14768	14754	HelleBol	0	comment	tjener
14768	14760	alexandra_w	0	comment	tjener
14768	14772	titare	0	comment	tjener
14768	14773	HelleBol	0	comment	tjener
14768	14770	HelleBol	0	comment	tjener
14768	14766	titare	0	comment	tjener
14768	14753	HelleBol	0	comment	tjener
14768	14774	HelleBol	0	comment	tjener
14771	14765	HelleBol	0	comment	tjener
14771	14753	HelleBol	0	comment	tjener
14771	14758	HelleBol	0	comment	tjener
14771	14759	alexandra_w	0	comment	tjener
14771	14761	alexandra_w	0	comment	tjener
14771	14764	HelleBol	0	comment	tjener
14771	14768	HelleBol	0	comment	tjener
14771	14768	alexandra_w	0	comment	tjener
14771	14769	HelleBol	0	comment	tjener
14771	14758	alexandra_w	0	comment	tjener
14771	14763	HelleBol	0	comment	tjener
14771	14759	titare	0	comment	tjener
14771	14760	alexandra_w	0	comment	tjener
14771	14766	titare	0	comment	tjener
14771	14774	titare	0	comment	tjener
14773	14760	titare	4	comment	tjener
14773	14755	HelleBol	4	comment	tjener
14773	14771	titare	0	comment	tjener
14773	14759	titare	4	comment	tjener
14773	14756	titare	0	comment	tjener
14773	14756	HelleBol	0	comment	tjener
14773	14770	HelleBol	4	comment	tjener
14773	14758	alexandra_w	0	comment	tjener
14773	14763	alexandra_w	4	comment	tjener
14773	14757	HelleBol	4	comment	tjener
14773	14768	alexandra_w	0	comment	tjener
14773	14771	alexandra_w	0	comment	tjener
14773	14765	HelleBol	0	comment	tjener
14773	14755	titare	3	comment	tjener
14773	14770	alexandra_w	4	comment	tjener
14773	14766	titare	4	comment	tjener
14773	14774	HelleBol	4	comment	tjener
14773	14759	alexandra_w	4	comment	tjener
14754	14763	titare	3	comment	tjener
14754	14770	HelleBol	4	comment	tjener
14754	14760	HelleBol	4	comment	tjener
14754	14767	alexandra_w	0	comment	tjener
14754	14768	alexandra_w	0	comment	tjener
14754	14768	titare	0	comment	tjener
14754	14773	HelleBol	4	comment	tjener
14754	14767	titare	0	comment	tjener
14754	14774	titare	4	comment	tjener
14754	14760	alexandra_w	4	comment	tjener
14754	14753	titare	4	comment	tjener
14754	14773	alexandra_w	4	comment	tjener
14754	14758	titare	0	comment	tjener
14754	14758	alexandra_w	0	comment	tjener
14754	14764	titare	4	comment	tjener
14754	14770	titare	4	comment	tjener
14754	14755	titare	3	comment	tjener
14754	14774	HelleBol	4	comment	tjener
14753	14757	HelleBol	4	comment	tjener
14753	14767	alexandra_w	0	comment	tjener
14753	14772	alexandra_w	4	comment	tjener
14753	14767	titare	0	comment	tjener
14753	14759	titare	4	comment	tjener
14753	14762	titare	4	comment	tjener
14753	14764	titare	4	comment	tjener
14753	14762	alexandra_w	4	comment	tjener
14753	14760	alexandra_w	4	comment	tjener
14753	14768	titare	0	comment	tjener
14753	14763	alexandra_w	4	comment	tjener
14753	14771	titare	0	comment	tjener
14769	14760	titare	4	comment	tjener
14769	14774	alexandra_w	3	comment	tjener
14769	14755	HelleBol	4	comment	tjener
14769	14753	HelleBol	4	comment	tjener
14769	14772	HelleBol	4	comment	tjener
14769	14771	alexandra_w	0	comment	tjener
14769	14764	alexandra_w	3	comment	tjener
14769	14754	alexandra_w	3	comment	tjener
14769	14765	titare	0	comment	tjener
14769	14765	HelleBol	0	comment	tjener
14769	14767	HelleBol	0	comment	tjener
14769	14773	alexandra_w	3	comment	tjener
14769	14765	alexandra_w	0	comment	tjener
14769	14768	alexandra_w	0	comment	tjener
14769	14764	HelleBol	4	comment	tjener
14769	14757	alexandra_w	3	comment	tjener
14765	14757	alexandra_w	0	comment	tjener
14765	14774	HelleBol	0	comment	tjener
14765	14771	titare	0	comment	tjener
14765	14763	alexandra_w	0	comment	tjener
14765	14753	titare	0	comment	tjener
14765	14756	alexandra_w	0	comment	tjener
14765	14759	titare	0	comment	tjener
14765	14764	alexandra_w	0	comment	tjener
14765	14757	titare	0	comment	tjener
14765	14772	HelleBol	0	comment	tjener
14765	14762	titare	0	comment	tjener
14765	14758	titare	0	comment	tjener
14765	14753	alexandra_w	0	comment	tjener
14765	14768	HelleBol	0	comment	tjener
14758	14768	alexandra_w	0	comment	tjener
14758	14757	titare	0	comment	tjener
14758	14759	HelleBol	0	comment	tjener
14758	14756	alexandra_w	0	comment	tjener
14758	14762	titare	0	comment	tjener
14758	14771	titare	0	comment	tjener
14758	14768	HelleBol	0	comment	tjener
14758	14769	HelleBol	0	comment	tjener
14758	14768	titare	0	comment	tjener
14758	14761	titare	0	comment	tjener
14758	14773	HelleBol	0	comment	tjener
14758	14774	titare	0	comment	tjener
14758	14760	HelleBol	0	comment	tjener
14758	14770	HelleBol	0	comment	tjener
14757	14761	titare	4	comment	tjener
14757	14756	titare	0	comment	tjener
14757	14771	HelleBol	0	comment	tjener
14757	14766	alexandra_w	3	comment	tjener
14757	14761	alexandra_w	3	comment	tjener
14757	14767	alexandra_w	0	comment	tjener
14757	14772	HelleBol	4	comment	tjener
14757	14769	HelleBol	4	comment	tjener
14757	14759	alexandra_w	3	comment	tjener
14757	14772	alexandra_w	3	comment	tjener
14757	14759	HelleBol	4	comment	tjener
14757	14770	titare	4	comment	tjener
14757	14764	HelleBol	4	comment	tjener
14757	14774	HelleBol	4	comment	tjener
14757	14753	titare	4	comment	tjener
14757	14773	titare	4	comment	tjener
14757	14762	titare	4	comment	tjener
14757	14769	titare	4	comment	tjener
14772	14766	alexandra_w	4	comment	tjener
14772	14758	HelleBol	0	comment	tjener
14772	14764	HelleBol	4	comment	tjener
14772	14763	HelleBol	4	comment	tjener
14772	14770	HelleBol	4	comment	tjener
14772	14766	HelleBol	4	comment	tjener
14772	14759	titare	3	comment	tjener
14772	14757	titare	3	comment	tjener
14772	14762	HelleBol	4	comment	tjener
14766	14768	HelleBol	0	comment	tjener
14766	14754	alexandra_w	4	comment	tjener
14766	14765	alexandra_w	0	comment	tjener
14766	14764	titare	4	comment	tjener
14766	14755	titare	3	comment	tjener
14766	14774	HelleBol	4	comment	tjener
14766	14758	titare	0	comment	tjener
14766	14754	titare	4	comment	tjener
14766	14755	HelleBol	4	comment	tjener
14766	14756	alexandra_w	0	comment	tjener
14766	14753	alexandra_w	4	comment	tjener
14766	14765	titare	0	comment	tjener
14766	14774	titare	4	comment	tjener
14766	14756	HelleBol	0	comment	tjener
14766	14765	HelleBol	0	comment	tjener
14766	14770	titare	4	comment	tjener
14766	14762	titare	4	comment	tjener
14755	14754	alexandra_w	4	comment	tjener
14755	14772	alexandra_w	4	comment	tjener
14755	14772	titare	4	comment	tjener
14755	14772	HelleBol	4	comment	tjener
14755	14774	HelleBol	4	comment	tjener
14755	14760	HelleBol	4	comment	tjener
14755	14769	alexandra_w	3	comment	tjener
14755	14761	HelleBol	4	comment	tjener
14755	14769	titare	4	comment	tjener
14755	14768	titare	0	comment	tjener
14755	14762	alexandra_w	4	comment	tjener
14755	14767	alexandra_w	0	comment	tjener
14755	14753	HelleBol	4	comment	tjener
14755	14764	titare	3	comment	tjener
14755	14771	alexandra_w	0	comment	tjener
14755	14757	alexandra_w	4	comment	tjener
14755	14753	alexandra_w	4	comment	tjener
14755	14768	alexandra_w	0	comment	tjener
14755	14770	alexandra_w	4	comment	tjener
14755	14766	alexandra_w	4	comment	tjener
14755	14754	HelleBol	4	comment	tjener
14755	14757	HelleBol	4	comment	tjener
14755	14774	alexandra_w	4	comment	tjener
14755	14758	titare	3	comment	tjener
14755	14763	titare	3	comment	tjener
14761	14765	titare	0	comment	tjener
14761	14753	HelleBol	4	comment	tjener
14761	14755	titare	3	comment	tjener
14761	14756	HelleBol	0	comment	tjener
14761	14770	alexandra_w	4	comment	tjener
14761	14755	alexandra_w	4	comment	tjener
14761	14766	titare	4	comment	tjener
14761	14773	titare	4	comment	tjener
14761	14759	titare	4	comment	tjener
14761	14763	alexandra_w	4	comment	tjener
14761	14769	HelleBol	4	comment	tjener
14761	14766	HelleBol	4	comment	tjener
14761	14754	alexandra_w	4	comment	tjener
14761	14770	titare	4	comment	tjener
14761	14766	alexandra_w	4	comment	tjener
14761	14765	alexandra_w	0	comment	tjener
14761	14762	titare	4	comment	tjener
14761	14767	HelleBol	0	comment	tjener
14761	14769	alexandra_w	3	comment	tjener
14761	14760	HelleBol	4	comment	tjener
14764	14770	alexandra_w	4	comment	tjener
14764	14772	alexandra_w	4	comment	tjener
14764	14767	titare	0	comment	tjener
14764	14773	alexandra_w	4	comment	tjener
14764	14755	alexandra_w	4	comment	tjener
14764	14757	alexandra_w	3	comment	tjener
14764	14768	HelleBol	0	comment	tjener
14764	14763	titare	3	comment	tjener
14764	14769	titare	4	comment	tjener
14764	14754	HelleBol	4	comment	tjener
14764	14763	HelleBol	4	comment	tjener
14764	14770	titare	4	comment	tjener
14756	14772	HelleBol	0	comment	tjener
14756	14760	titare	0	comment	tjener
14756	14759	titare	0	comment	tjener
14756	14753	titare	0	comment	tjener
14756	14764	HelleBol	0	comment	tjener
14756	14754	alexandra_w	0	comment	tjener
14756	14772	titare	0	comment	tjener
14756	14771	titare	0	comment	tjener
14756	14770	HelleBol	0	comment	tjener
14756	14774	HelleBol	0	comment	tjener
14756	14762	alexandra_w	0	comment	tjener
14756	14768	titare	0	comment	tjener
14756	14774	titare	0	comment	tjener
14756	14760	HelleBol	0	comment	tjener
14756	14763	HelleBol	0	comment	tjener
14756	14762	HelleBol	0	comment	tjener
14756	14763	alexandra_w	0	comment	tjener
14756	14754	titare	0	comment	tjener
14756	14765	titare	0	comment	tjener
14756	14763	titare	0	comment	tjener
14774	14758	alexandra_w	0	comment	tjener
14774	14764	HelleBol	4	comment	tjener
14774	14756	alexandra_w	0	comment	tjener
14774	14764	titare	4	comment	tjener
14774	14760	HelleBol	4	comment	tjener
14774	14770	HelleBol	4	comment	tjener
14774	14753	titare	4	comment	tjener
14774	14772	titare	4	comment	tjener
14774	14757	alexandra_w	3	comment	tjener
14774	14761	alexandra_w	4	comment	tjener
14774	14759	HelleBol	4	comment	tjener
14774	14762	HelleBol	4	comment	tjener
14774	14771	HelleBol	0	comment	tjener
14774	14753	HelleBol	4	comment	tjener
14774	14754	alexandra_w	4	comment	tjener
14760	14771	HelleBol	0	comment	tjener
14760	14767	alexandra_w	0	comment	tjener
14760	14765	alexandra_w	0	comment	tjener
14760	14773	HelleBol	4	comment	tjener
14760	14755	alexandra_w	4	comment	tjener
14760	14761	titare	4	comment	tjener
14760	14756	alexandra_w	0	comment	tjener
14760	14768	HelleBol	0	comment	tjener
14760	14766	HelleBol	4	comment	tjener
14760	14770	titare	4	comment	tjener
14760	14757	alexandra_w	3	comment	tjener
14760	14755	titare	3	comment	tjener
14760	14774	titare	4	comment	tjener
14760	14763	titare	3	comment	tjener
14762	14759	HelleBol	4	comment	tjener
14762	14763	titare	3	comment	tjener
14762	14758	alexandra_w	0	comment	tjener
14762	14761	alexandra_w	4	comment	tjener
14762	14763	HelleBol	4	comment	tjener
14762	14754	alexandra_w	4	comment	tjener
14762	14763	alexandra_w	4	comment	tjener
14762	14760	HelleBol	4	comment	tjener
14762	14773	alexandra_w	4	comment	tjener
14762	14771	titare	0	comment	tjener
14762	14755	HelleBol	4	comment	tjener
14762	14768	alexandra_w	0	comment	tjener
14762	14769	alexandra_w	3	comment	tjener
14762	14774	titare	4	comment	tjener
14762	14772	alexandra_w	4	comment	tjener
14762	14773	HelleBol	4	comment	tjener
14762	14774	alexandra_w	4	comment	tjener
14762	14771	alexandra_w	0	comment	tjener
14767	14774	titare	0	comment	tjener
14767	14764	HelleBol	0	comment	tjener
14767	14753	HelleBol	0	comment	tjener
14767	14763	alexandra_w	0	comment	tjener
14767	14759	alexandra_w	0	comment	tjener
14767	14772	titare	0	comment	tjener
14767	14766	HelleBol	0	comment	tjener
14767	14765	HelleBol	0	comment	tjener
14767	14770	alexandra_w	0	comment	tjener
14767	14765	alexandra_w	0	comment	tjener
14767	14762	alexandra_w	0	comment	tjener
14767	14770	titare	0	comment	tjener
14767	14772	alexandra_w	0	comment	tjener
14759	14754	titare	4	comment	tjener
14759	14774	titare	4	comment	tjener
14759	14773	HelleBol	4	comment	tjener
14759	14768	HelleBol	0	comment	tjener
14759	14762	titare	4	comment	tjener
14759	14754	HelleBol	4	comment	tjener
14759	14755	titare	3	comment	tjener
14759	14753	alexandra_w	4	comment	tjener
14759	14760	titare	4	comment	tjener
14759	14769	alexandra_w	3	comment	tjener
14759	14753	HelleBol	4	comment	tjener
14759	14760	HelleBol	4	comment	tjener
14759	14758	titare	0	comment	tjener
14759	14757	titare	4	comment	tjener
14759	14755	HelleBol	4	comment	tjener
14763	14765	HelleBol	0	comment	tjener
14763	14758	titare	0	comment	tjener
14763	14757	HelleBol	4	comment	tjener
14763	14760	HelleBol	4	comment	tjener
14763	14757	titare	3	comment	tjener
14763	14769	titare	3	comment	tjener
14763	14754	alexandra_w	4	comment	tjener
14763	14753	HelleBol	4	comment	tjener
14763	14766	HelleBol	4	comment	tjener
14763	14769	HelleBol	4	comment	tjener
14763	14753	titare	3	comment	tjener
14763	14767	HelleBol	0	comment	tjener
14763	14772	alexandra_w	4	comment	tjener
14763	14759	alexandra_w	3	comment	tjener
14770	14762	alexandra_w	4	comment	tjener
14770	14769	titare	4	comment	tjener
14770	14755	titare	3	comment	tjener
14770	14760	alexandra_w	4	comment	tjener
14770	14769	alexandra_w	3	comment	tjener
14770	14771	alexandra_w	0	comment	tjener
14770	14759	titare	4	comment	tjener
14770	14764	HelleBol	4	comment	tjener
14770	14772	alexandra_w	4	comment	tjener
14770	14767	HelleBol	0	comment	tjener
14770	14761	HelleBol	4	comment	tjener
14770	14753	HelleBol	4	comment	tjener
14770	14773	titare	4	comment	tjener
14770	14759	alexandra_w	4	comment	tjener
14770	14772	titare	3	comment	tjener
14770	14760	HelleBol	4	comment	tjener
14770	14765	titare	0	comment	tjener
