identifier1	identifier2	annotator	judgment	comment	lemma
15354	15359	HelleBol	3	comment	tavle
15354	15343	titare	1	comment	tavle
15354	15356	HelleBol	3	comment	tavle
15354	15361	HelleBol	3	comment	tavle
15354	15345	titare	4	comment	tavle
15354	15358	alexandra_w	2	comment	tavle
15354	15359	alexandra_w	2	comment	tavle
15354	15344	alexandra_w	2	comment	tavle
15354	15350	alexandra_w	4	comment	tavle
15354	15350	titare	4	comment	tavle
15354	15344	HelleBol	2	comment	tavle
15354	15341	HelleBol	0	comment	tavle
15354	15347	titare	4	comment	tavle
15354	15347	alexandra_w	4	comment	tavle
15354	15345	HelleBol	2	comment	tavle
15354	15343	alexandra_w	2	comment	tavle
15354	15350	HelleBol	3	comment	tavle
15354	15352	alexandra_w	2	comment	tavle
15354	15352	HelleBol	2	comment	tavle
15354	15351	HelleBol	3	comment	tavle
15346	15361	alexandra_w	4	comment	tavle
15346	15355	alexandra_w	2	comment	tavle
15346	15350	titare	0	comment	tavle
15346	15359	titare	0	comment	tavle
15346	15341	titare	4	comment	tavle
15346	15357	titare	0	comment	tavle
15346	15355	titare	0	comment	tavle
15346	15362	alexandra_w	2	comment	tavle
15346	15350	alexandra_w	4	comment	tavle
15346	15353	HelleBol	0	comment	tavle
15346	15357	alexandra_w	2	comment	tavle
15346	15359	HelleBol	4	comment	tavle
15346	15358	HelleBol	2	comment	tavle
15342	15352	alexandra_w	4	comment	tavle
15342	15362	HelleBol	2	comment	tavle
15342	15351	HelleBol	2	comment	tavle
15342	15350	HelleBol	2	comment	tavle
15342	15361	HelleBol	2	comment	tavle
15342	15359	HelleBol	2	comment	tavle
15342	15355	HelleBol	4	comment	tavle
15342	15353	titare	1	comment	tavle
15342	15347	titare	1	comment	tavle
15342	15348	alexandra_w	2	comment	tavle
15342	15346	alexandra_w	2	comment	tavle
15342	15354	alexandra_w	2	comment	tavle
15342	15347	alexandra_w	2	comment	tavle
15342	15360	alexandra_w	2	comment	tavle
15342	15344	HelleBol	4	comment	tavle
15360	15358	alexandra_w	2	comment	tavle
15360	15346	titare	0	comment	tavle
15360	15355	alexandra_w	2	comment	tavle
15360	15349	HelleBol	3	comment	tavle
15360	15359	alexandra_w	2	comment	tavle
15360	15344	titare	1	comment	tavle
15360	15342	titare	1	comment	tavle
15360	15362	alexandra_w	4	comment	tavle
15360	15357	HelleBol	2	comment	tavle
15360	15341	HelleBol	0	comment	tavle
15360	15347	HelleBol	4	comment	tavle
15360	15341	alexandra_w	4	comment	tavle
15360	15362	titare	4	comment	tavle
15360	15353	alexandra_w	4	comment	tavle
15360	15348	alexandra_w	4	comment	tavle
15360	15354	titare	4	comment	tavle
15360	15345	HelleBol	2	comment	tavle
15360	15359	titare	4	comment	tavle
15360	15358	HelleBol	2	comment	tavle
15360	15346	alexandra_w	4	comment	tavle
15361	15356	HelleBol	4	comment	tavle
15361	15360	alexandra_w	4	comment	tavle
15361	15347	HelleBol	4	comment	tavle
15361	15348	alexandra_w	4	comment	tavle
15361	15360	HelleBol	4	comment	tavle
15361	15355	HelleBol	2	comment	tavle
15361	15354	titare	4	comment	tavle
15361	15342	alexandra_w	2	comment	tavle
15361	15351	HelleBol	4	comment	tavle
15361	15355	titare	1	comment	tavle
15361	15353	titare	4	comment	tavle
15361	15342	titare	1	comment	tavle
15361	15341	alexandra_w	2	comment	tavle
15361	15353	HelleBol	4	comment	tavle
15361	15358	HelleBol	2	comment	tavle
15361	15344	HelleBol	2	comment	tavle
15361	15350	alexandra_w	4	comment	tavle
15361	15358	alexandra_w	2	comment	tavle
15361	15349	alexandra_w	2	comment	tavle
15361	15357	titare	1	comment	tavle
15361	15356	alexandra_w	4	comment	tavle
15356	15344	alexandra_w	2	comment	tavle
15356	15359	titare	4	comment	tavle
15356	15353	titare	4	comment	tavle
15356	15342	HelleBol	2	comment	tavle
15356	15351	alexandra_w	4	comment	tavle
15356	15345	titare	2	comment	tavle
15356	15342	alexandra_w	2	comment	tavle
15356	15345	HelleBol	2	comment	tavle
15356	15358	titare	1	comment	tavle
15356	15359	alexandra_w	2	comment	tavle
15356	15349	alexandra_w	2	comment	tavle
15356	15343	titare	1	comment	tavle
15356	15345	alexandra_w	2	comment	tavle
15356	15341	alexandra_w	4	comment	tavle
15356	15354	alexandra_w	4	comment	tavle
15356	15352	alexandra_w	2	comment	tavle
15356	15355	HelleBol	2	comment	tavle
15356	15355	alexandra_w	2	comment	tavle
15356	15342	titare	1	comment	tavle
15356	15357	titare	1	comment	tavle
15347	15358	titare	1	comment	tavle
15347	15352	alexandra_w	2	comment	tavle
15347	15355	HelleBol	2	comment	tavle
15347	15350	titare	4	comment	tavle
15347	15350	alexandra_w	4	comment	tavle
15347	15351	HelleBol	4	comment	tavle
15347	15349	titare	4	comment	tavle
15347	15346	alexandra_w	4	comment	tavle
15347	15349	alexandra_w	2	comment	tavle
15347	15357	titare	1	comment	tavle
15347	15342	HelleBol	2	comment	tavle
15347	15356	alexandra_w	4	comment	tavle
15347	15346	titare	0	comment	tavle
15347	15360	alexandra_w	4	comment	tavle
15347	15344	alexandra_w	2	comment	tavle
15347	15353	HelleBol	4	comment	tavle
15362	15359	alexandra_w	4	comment	tavle
15362	15353	alexandra_w	2	comment	tavle
15362	15349	HelleBol	4	comment	tavle
15362	15344	alexandra_w	4	comment	tavle
15362	15348	HelleBol	3	comment	tavle
15362	15344	HelleBol	2	comment	tavle
15362	15352	alexandra_w	3	comment	tavle
15362	15361	alexandra_w	2	comment	tavle
15362	15346	HelleBol	0	comment	tavle
15362	15342	alexandra_w	2	comment	tavle
15362	15349	titare	4	comment	tavle
15362	15355	titare	1	comment	tavle
15362	15356	titare	4	comment	tavle
15362	15359	HelleBol	4	comment	tavle
15362	15352	titare	1	comment	tavle
15362	15358	titare	1	comment	tavle
15362	15341	HelleBol	0	comment	tavle
15362	15358	HelleBol	2	comment	tavle
15362	15347	HelleBol	3	comment	tavle
15362	15342	titare	1	comment	tavle
15362	15356	alexandra_w	2	comment	tavle
15362	15344	titare	1	comment	tavle
15362	15354	titare	4	comment	tavle
15350	15343	titare	1	comment	tavle
15350	15358	alexandra_w	2	comment	tavle
15350	15362	alexandra_w	2	comment	tavle
15350	15355	HelleBol	2	comment	tavle
15350	15360	titare	4	comment	tavle
15350	15359	HelleBol	3	comment	tavle
15350	15353	alexandra_w	4	comment	tavle
15350	15361	HelleBol	4	comment	tavle
15350	15344	titare	1	comment	tavle
15350	15360	HelleBol	4	comment	tavle
15350	15342	alexandra_w	2	comment	tavle
15352	15347	titare	1	comment	tavle
15352	15360	alexandra_w	2	comment	tavle
15352	15350	titare	1	comment	tavle
15352	15359	alexandra_w	4	comment	tavle
15352	15348	HelleBol	2	comment	tavle
15352	15347	HelleBol	2	comment	tavle
15352	15355	alexandra_w	4	comment	tavle
15352	15344	HelleBol	4	comment	tavle
15352	15341	HelleBol	0	comment	tavle
15352	15353	alexandra_w	2	comment	tavle
15352	15353	HelleBol	2	comment	tavle
15352	15350	alexandra_w	2	comment	tavle
15352	15360	HelleBol	2	comment	tavle
15352	15356	HelleBol	2	comment	tavle
15352	15342	HelleBol	4	comment	tavle
15355	15341	titare	1	comment	tavle
15355	15354	HelleBol	2	comment	tavle
15355	15344	alexandra_w	4	comment	tavle
15355	15342	titare	4	comment	tavle
15355	15360	titare	1	comment	tavle
15355	15351	HelleBol	2	comment	tavle
15355	15343	titare	4	comment	tavle
15355	15353	HelleBol	2	comment	tavle
15344	15353	titare	1	comment	tavle
15344	15341	titare	1	comment	tavle
15344	15351	titare	1	comment	tavle
15344	15352	alexandra_w	4	comment	tavle
15344	15345	HelleBol	4	comment	tavle
15344	15354	titare	1	comment	tavle
15344	15345	titare	2	comment	tavle
15344	15357	HelleBol	4	comment	tavle
15344	15358	alexandra_w	4	comment	tavle
15344	15343	HelleBol	4	comment	tavle
15344	15346	titare	1	comment	tavle
15344	15349	titare	1	comment	tavle
15344	15357	alexandra_w	4	comment	tavle
15344	15358	titare	4	comment	tavle
15344	15360	alexandra_w	2	comment	tavle
15344	15350	alexandra_w	2	comment	tavle
15344	15355	titare	4	comment	tavle
15344	15346	alexandra_w	2	comment	tavle
15345	15358	HelleBol	4	comment	tavle
15345	15352	alexandra_w	3	comment	tavle
15345	15346	alexandra_w	3	comment	tavle
15345	15361	titare	2	comment	tavle
15345	15350	titare	4	comment	tavle
15345	15343	HelleBol	4	comment	tavle
15345	15347	HelleBol	2	comment	tavle
