identifier1	identifier2	annotator	judgment	comment	lemma
13824	13813	HelleBol	4	comment	bølge
13824	13815	HelleBol	2	comment	bølge
13824	13833	titare	4	comment	bølge
13824	13817	HelleBol	4	comment	bølge
13824	13832	alexandra_w	1	comment	bølge
13824	13819	titare	0	comment	bølge
13824	13822	alexandra_w	2	comment	bølge
13824	13825	alexandra_w	4	comment	bølge
13824	13819	HelleBol	4	comment	bølge
13824	13827	alexandra_w	4	comment	bølge
13824	13822	titare	2	comment	bølge
13824	13821	alexandra_w	3	comment	bølge
13828	13823	alexandra_w	2	comment	bølge
13828	13821	alexandra_w	3	comment	bølge
13828	13831	alexandra_w	2	comment	bølge
13828	13817	alexandra_w	4	comment	bølge
13828	13832	HelleBol	2	comment	bølge
13828	13831	HelleBol	2	comment	bølge
13828	13829	alexandra_w	3	comment	bølge
13828	13814	alexandra_w	4	comment	bølge
13828	13816	alexandra_w	4	comment	bølge
13828	13830	HelleBol	0	comment	bølge
13828	13813	titare	2	comment	bølge
13828	13820	alexandra_w	2	comment	bølge
13828	13833	titare	4	comment	bølge
13820	13814	titare	2	comment	bølge
13820	13817	titare	2	comment	bølge
13820	13825	HelleBol	2	comment	bølge
13820	13829	alexandra_w	1	comment	bølge
13820	13832	HelleBol	4	comment	bølge
13820	13825	alexandra_w	1	comment	bølge
13820	13832	titare	2	comment	bølge
13820	13817	HelleBol	2	comment	bølge
13829	13823	alexandra_w	4	comment	bølge
13829	13817	titare	2	comment	bølge
13829	13828	titare	2	comment	bølge
13829	13823	titare	4	comment	bølge
13829	13825	HelleBol	2	comment	bølge
13829	13820	titare	3	comment	bølge
13829	13822	titare	2	comment	bølge
13829	13825	alexandra_w	3	comment	bølge
13829	13819	alexandra_w	2	comment	bølge
13829	13826	titare	4	comment	bølge
13829	13817	alexandra_w	3	comment	bølge
13829	13817	HelleBol	2	comment	bølge
13829	13822	HelleBol	2	comment	bølge
13829	13824	alexandra_w	3	comment	bølge
13829	13814	alexandra_w	2	comment	bølge
13829	13818	alexandra_w	2	comment	bølge
13829	13834	HelleBol	2	comment	bølge
13829	13830	HelleBol	0	comment	bølge
13829	13824	titare	2	comment	bølge
13829	13816	alexandra_w	2	comment	bølge
13817	13834	alexandra_w	2	comment	bølge
13817	13814	alexandra_w	4	comment	bølge
13817	13819	titare	4	comment	bølge
13817	13816	alexandra_w	4	comment	bølge
13817	13814	titare	2	comment	bølge
13817	13823	titare	2	comment	bølge
13817	13818	alexandra_w	3	comment	bølge
13817	13826	HelleBol	2	comment	bølge
13817	13828	titare	2	comment	bølge
13817	13833	HelleBol	4	comment	bølge
13817	13824	alexandra_w	4	comment	bølge
13817	13830	alexandra_w	2	comment	bølge
13817	13827	HelleBol	4	comment	bølge
13817	13825	HelleBol	4	comment	bølge
13831	13824	alexandra_w	1	comment	bølge
13831	13830	alexandra_w	2	comment	bølge
13831	13820	HelleBol	4	comment	bølge
13831	13825	alexandra_w	2	comment	bølge
13831	13815	HelleBol	2	comment	bølge
13831	13820	alexandra_w	1	comment	bølge
13831	13834	alexandra_w	4	comment	bølge
13831	13827	HelleBol	2	comment	bølge
13831	13821	HelleBol	2	comment	bølge
13831	13832	alexandra_w	4	comment	bølge
13831	13816	alexandra_w	2	comment	bølge
13831	13823	titare	2	comment	bølge
13831	13834	HelleBol	4	comment	bølge
13831	13816	titare	2	comment	bølge
13831	13828	titare	2	comment	bølge
13830	13813	alexandra_w	1	comment	bølge
13830	13814	titare	2	comment	bølge
