lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
kjemi	NN	1929	1929-1965	1929-1965_kjemi_267		"I og 11, NTH Elektroteknisk laboratorium 111, Svakstrømlaboratoriet Farmasøytisk institutt Farmasøytisk institutt Avd A, Galenisk farmasi Farmasøytisk institutt Avd. B, Farmasøytisk kjemi Farmasøytisk institutt Avd. C, Farmakognosi Farmasøytisk institutt Avd. D .Bakteriologisk avdeling Farmasøytisk institutt Avd. E, Biologi Farmasøytisk institutt Avd. F, Botanisk avdeling Fiskeridirektoratets Havforskingsinstitutt Fiskeridirektoratets Kjemisk-Tekniske Forskingsinstitutt, ""Fiskerilaboratoriet"" Fjellsprengningsutvalget 179 23 Forskningsrådenes fellesutvalg, FFU 8 Innholdsfortegnelse fortsart Side Forsvarets forskningsinstitutt, FFI Forsøkslaboratoriet for maling og laKk Fysisk institutt, Universitetet i Bergen Fysisk institutt, NTH 184 35 105 160 Fysisk institutt, Universitetet i Oslo 6c Fysisk institutt Avd ."	182:187	0:819	13310	real_norwegian_semantic_change	no	andrey
kjemi	NN	1970	1970-2015	1970-2015_kjemi_617		"Det fremgår videre av studieplanene at opplegget for grunnfapene matematikk, fysikk, mekanikk og kjemi i store trekk er det samme for alle NTH f s studieretninger. Etter S.P. ,Andersen-komiteens forslag skal NTH i fremtiden konsentrere virksomheten om 2. avdelings- og ""post-graduate"" - undervisning med tilhørende forskning, og studenter fra tekniske faghøgskoler/distriktshøgskolers tekniske seksjon skal kunne opptas direkte i 2. avdeling ved NTH. Dette betyr at disse sistnevnte skoler, for at S.P."	97:102	0:502	13312	real_norwegian_semantic_change	no	andrey
kjemi	NN	1970	1970-2015	1970-2015_kjemi_642		I Kristiansand er det samarbeidsprosjekt med omsyn til vidareutdanning for laerarar i matematikk, kjemi og engelsk.	97:102	0:114	13309	real_norwegian_semantic_change	no	andrey
kjemi	NN	1929	1929-1965	1929-1965_kjemi_247		Elementaer undervisning i kvalitativ og kvantitativ kjemi Videregående undervisning i høytemperatur - og isotop- kjem i .	51:56	0:120	13320	real_norwegian_semantic_change	no	andrey
kjemi	NN	1929	1929-1965	1929-1965_kjemi_222		Samarbeid mellom fysikk og kjemi på den ene side og de andre grener av naturfaget på den annen side, er nevnt før. Likeså er det en nøye sammenheng mellom denne del av naturfaget og geografi og husstell. IV. Arbeidsplan for klassene. 2 Innleiing.	27:32	0:246	13328	real_norwegian_semantic_change	no	andrey
kjemi	NN	1929	1929-1965	1929-1965_kjemi_135		I tiden 1896—99 var han overkontrollør ved malt- og brennevinstilvirkningen, men forlot denne stilling da han fikk et ledig adjunktstipendium i kjemi ved Universitetet. R. blev derved satt i stand til å følge sine utpregede videnskapelige interesser og drog straks til Berlin, hvor han i et par år studerte organisk kjemi hos professor C. Liebermann.	144:149	0:350	13319	real_norwegian_semantic_change	no	andrey
kjemi	NN	1970	1970-2015	1970-2015_kjemi_646		Naturfag. Det bør setjast i gang halvårskurs i dei tre fagområda biologi, fysikk og kjemi.	84:89	0:90	13323	real_norwegian_semantic_change	no	andrey
kjemi	NN	1929	1929-1965	1929-1965_kjemi_106		I Uuncden og Qottingen studerte dan kjemi.	36:41	0:42	13318	real_norwegian_semantic_change	no	andrey
kjemi	NN	1970	1970-2015	1970-2015_kjemi_438		Materiallaere, kjemi 1 » Kunst- og kulturhistorie 1 » Kroppsøving, anatomi, fysiologi ... 2 » Tilvalgsf ag 4 » I alt 40 timer Innen hovedfag: Hovedemne 16 timer Tilleggsemner 6 » i gjennomsnitt.	14:19	0:193	13325	real_norwegian_semantic_change	no	andrey
kjemi	NN	1929	1929-1965	1929-1965_kjemi_190		Dette ytrer sig på den måte, at jentene liker å stelle med planter, men fag som fysikk og kjemi vekker sjelden deres interesse.	90:95	0:127	13321	real_norwegian_semantic_change	no	andrey
kjemi	NN	1970	1970-2015	1970-2015_kjemi_440		Integreres med fagtegning. b) Vaere inspirasjon til eksperiment direkte i materialer. c) Vaere inspirasjon til skisse til dekorasjon/ form for et bestemt formål. Oppgåver i å lage skisser og utkast til form/ dekorasjon for bestemte formål. Skissestudier av gjenstander/detaljer fra forskjellige stilperioder. Halvårskurs i tegning Timetall pr. uke Hovedfag med fagteori 22 timer Aktiviteter som prydsøm, veving 0.1. 6 » Norsk 2 » Samfunnskunnskap med religion og etikk 2 » Tekstilmateriallaere, tekstil- behandling, kjemi 1 » I alt 40 timer Faget omfatter grunnleggende innføring i de viktigste elementer i: Frihåndstegning, form/farge og komposisjon. Dessuten skrift, trykkteknikker og valgfrie aktiviteter som leire,- tre- og metallarbeid o. a. teknikker.	513:518	0:754	13311	real_norwegian_semantic_change	no	andrey
kjemi	NN	1929	1929-1965	1929-1965_kjemi_0		Borgerdyds_kolen (stiftet 1787) var den første danske skole som forente undervisning i realfag med undervisning i latin; skolen består ennå. Fra samme tid skriver seg «Selskabet for Efterslaegten», hvis mål skulle vaere 1) å la avholde lettfattelige forelesninger over slike emner som i regelen ikke behandles i den alminnelige undervisning (den naturlige religion, anatomi, fysikk, kjemi m. m.); 2) a opprette et bibliotek til bruk for de unge; 3) 2 utbre nyttig lesning blant almuen, og hjelpe til å få utgitt skrifter som er tjenlige til dette.	381:386	0:545	13313	real_norwegian_semantic_change	no	andrey
kjemi	NN	1929	1929-1965	1929-1965_kjemi_257		Avd, Kjemi Utbygget med henblikk på forskning for forsvaret innen alle grener av kjemien, Avdelingen omfatter seksjoner for uorganisk kjemi. analytisk kjemi organisk kjemi , fysikalsk kjemi .. og har en kjemisk teknisk forsøksstasjon til rådighet. Ca. 30% av avdelingens kapasitet nyttes til service for for - svaret (spes. korrosjon og metallurgiske problemer)	81:86	0:361	13324	real_norwegian_semantic_change	no	andrey
kjemi	NN	1970	1970-2015	1970-2015_kjemi_263		Men nå har det kommet inn et betydelig antall kvinner i linjer, og arkitekt og kjemi hadde i 1987 bare 37 prosent av alle kvinnene i teknologiske studier. Tabell 6.2: Teknologi-kandida ter Prosentandel menn og kvinner.	79:84	0:218	13314	real_norwegian_semantic_change	no	andrey
