identifier1	identifier2	annotator	judgment	comment	lemma
13445	13462	HelleBol	3	comment	plattform
13445	13454	titare	0	comment	plattform
13445	13457	alexandra_w	0	comment	plattform
13445	13460	HelleBol	4	comment	plattform
13445	13456	alexandra_w	3	comment	plattform
13445	13442	HelleBol	3	comment	plattform
13445	13455	alexandra_w	4	comment	plattform
13445	13458	alexandra_w	2	comment	plattform
13445	13455	HelleBol	3	comment	plattform
13445	13449	titare	1	comment	plattform
13445	13461	titare	0	comment	plattform
13445	13448	titare	0	comment	plattform
13445	13461	alexandra_w	2	comment	plattform
13445	13447	alexandra_w	2	comment	plattform
13445	13449	alexandra_w	1	comment	plattform
13445	13450	alexandra_w	1	comment	plattform
13445	13446	HelleBol	3	comment	plattform
13445	13446	titare	0	comment	plattform
13445	13461	HelleBol	3	comment	plattform
13445	13452	alexandra_w	4	comment	plattform
13456	13458	alexandra_w	3	comment	plattform
13456	13450	titare	0	comment	plattform
13456	13442	HelleBol	2	comment	plattform
13456	13452	HelleBol	2	comment	plattform
13456	13461	alexandra_w	4	comment	plattform
13456	13459	alexandra_w	1	comment	plattform
13456	13452	titare	0	comment	plattform
13456	13457	alexandra_w	3	comment	plattform
13456	13455	titare	0	comment	plattform
13456	13446	titare	0	comment	plattform
13456	13442	alexandra_w	4	comment	plattform
13456	13447	titare	0	comment	plattform
13456	13457	titare	0	comment	plattform
13456	13441	alexandra_w	4	comment	plattform
13456	13449	HelleBol	2	comment	plattform
13456	13453	titare	0	comment	plattform
13458	13461	alexandra_w	1	comment	plattform
13458	13441	titare	1	comment	plattform
13458	13450	alexandra_w	1	comment	plattform
13458	13455	HelleBol	3	comment	plattform
13458	13454	HelleBol	3	comment	plattform
13458	13441	alexandra_w	1	comment	plattform
13458	13444	titare	4	comment	plattform
13458	13445	titare	1	comment	plattform
13458	13442	HelleBol	3	comment	plattform
13458	13452	HelleBol	3	comment	plattform
13458	13446	HelleBol	3	comment	plattform
13458	13449	alexandra_w	3	comment	plattform
13458	13443	titare	1	comment	plattform
13458	13441	HelleBol	3	comment	plattform
13458	13451	HelleBol	3	comment	plattform
13458	13453	titare	0	comment	plattform
13458	13451	titare	1	comment	plattform
13458	13449	titare	1	comment	plattform
13458	13460	alexandra_w	1	comment	plattform
13457	13461	titare	1	comment	plattform
13457	13460	titare	0	comment	plattform
13457	13443	alexandra_w	4	comment	plattform
13457	13451	alexandra_w	3	comment	plattform
13457	13444	HelleBol	3	comment	plattform
13457	13462	alexandra_w	1	comment	plattform
13457	13458	titare	4	comment	plattform
13457	13449	titare	1	comment	plattform
13457	13461	alexandra_w	1	comment	plattform
13457	13450	alexandra_w	1	comment	plattform
13457	13459	HelleBol	3	comment	plattform
13457	13459	titare	1	comment	plattform
13457	13453	alexandra_w	2	comment	plattform
13457	13441	titare	1	comment	plattform
13457	13442	HelleBol	3	comment	plattform
13453	13457	HelleBol	3	comment	plattform
13453	13451	alexandra_w	0	comment	plattform
13453	13447	alexandra_w	3	comment	plattform
13453	13454	HelleBol	4	comment	plattform
13453	13459	titare	0	comment	plattform
13453	13459	HelleBol	4	comment	plattform
13453	13441	HelleBol	3	comment	plattform
13453	13452	alexandra_w	3	comment	plattform
13453	13461	titare	0	comment	plattform
13453	13444	alexandra_w	1	comment	plattform
13453	13445	titare	0	comment	plattform
13453	13458	alexandra_w	0	comment	plattform
13453	13454	alexandra_w	0	comment	plattform
13453	13462	titare	0	comment	plattform
13453	13458	HelleBol	3	comment	plattform
13453	13447	titare	0	comment	plattform
13453	13446	titare	0	comment	plattform
13461	13462	titare	4	comment	plattform
13461	13451	HelleBol	4	comment	plattform
13461	13459	alexandra_w	2	comment	plattform
13461	13454	alexandra_w	1	comment	plattform
13461	13441	titare	4	comment	plattform
13461	13454	HelleBol	3	comment	plattform
13461	13462	HelleBol	4	comment	plattform
13461	13444	alexandra_w	1	comment	plattform
13461	13450	titare	1	comment	plattform
13461	13451	titare	4	comment	plattform
13461	13450	alexandra_w	1	comment	plattform
13461	13443	alexandra_w	3	comment	plattform
13441	13450	HelleBol	2	comment	plattform
13441	13454	titare	1	comment	plattform
13441	13454	alexandra_w	1	comment	plattform
13441	13460	alexandra_w	4	comment	plattform
13441	13462	alexandra_w	4	comment	plattform
13441	13442	alexandra_w	4	comment	plattform
13441	13452	titare	4	comment	plattform
13441	13454	HelleBol	3	comment	plattform
13441	13452	alexandra_w	4	comment	plattform
13441	13456	HelleBol	2	comment	plattform
13441	13442	titare	4	comment	plattform
13441	13444	titare	1	comment	plattform
13441	13462	titare	0	comment	plattform
13441	13455	alexandra_w	4	comment	plattform
13441	13459	titare	1	comment	plattform
13441	13455	titare	4	comment	plattform
13441	13446	alexandra_w	2	comment	plattform
13441	13450	alexandra_w	1	comment	plattform
13441	13462	HelleBol	4	comment	plattform
13441	13459	HelleBol	3	comment	plattform
13446	13443	alexandra_w	1	comment	plattform
13446	13444	alexandra_w	3	comment	plattform
13446	13454	titare	4	comment	plattform
13446	13445	alexandra_w	1	comment	plattform
13446	13455	HelleBol	3	comment	plattform
13446	13442	titare	1	comment	plattform
13446	13449	titare	4	comment	plattform
13446	13451	alexandra_w	1	comment	plattform
13446	13455	alexandra_w	1	comment	plattform
13446	13460	HelleBol	3	comment	plattform
13446	13456	HelleBol	2	comment	plattform
13446	13448	alexandra_w	1	comment	plattform
13446	13448	titare	0	comment	plattform
13446	13447	titare	1	comment	plattform
13446	13461	titare	1	comment	plattform
13446	13462	titare	1	comment	plattform
13446	13459	alexandra_w	3	comment	plattform
13454	13457	HelleBol	3	comment	plattform
13454	13450	HelleBol	2	comment	plattform
13454	13452	alexandra_w	2	comment	plattform
13454	13458	titare	1	comment	plattform
13454	13455	titare	1	comment	plattform
13454	13456	titare	0	comment	plattform
13454	13460	titare	0	comment	plattform
13454	13462	alexandra_w	1	comment	plattform
13454	13446	HelleBol	4	comment	plattform
13454	13451	HelleBol	3	comment	plattform
13454	13447	titare	1	comment	plattform
13454	13449	alexandra_w	3	comment	plattform
13454	13457	titare	1	comment	plattform
13454	13448	HelleBol	3	comment	plattform
13454	13451	titare	0	comment	plattform
13454	13447	HelleBol	3	comment	plattform
13454	13445	alexandra_w	2	comment	plattform
13454	13442	HelleBol	3	comment	plattform
13454	13456	alexandra_w	3	comment	plattform
13454	13442	alexandra_w	2	comment	plattform
13454	13443	alexandra_w	2	comment	plattform
13454	13457	alexandra_w	2	comment	plattform
