lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
sky	NN	1980	1980-1990	1980-1990_sky_69		Endnu holder du hånden Endnu holder du hånden, skjønnhet! over jorden, endnu kan gyldne skyer og blussende solnedganger kaste et forsonende skjaer over denne mishandlede klode der ligger i mitt øie som et gnissende sandkorn, som får tårerne til å strømme mot min vilje. Endnu blir ruinen av et landskap til et eventyrland en høstnatt, når havets sorte flate får glans av stjerneskimmeret, og jeg går gjennem dugget gress med et flyktende sølvskjaer om føtterne, mens fullmånen holder det hele i sin hand som en vennlig trollmann. O, endnu kan en sommermorgen overvelde mig med sitt ujordiske flammehav over åser og sjø og skjaer, som synes å kunne brenne all synd og sorg ut av det og forvandle det til et empyreum for guder hevet over forkrenkeligheten.	88:93	0:751	14939	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_86		Kart ble opptatt i forbindelse med utskiftningsforretning sluttet 14. juli 1925 over en del av inn- og utmarka til Dragvik. Kartet som er inntatt i kartutdraget, kan gi en viss orientering om beliggenheten av noen av de teigene som er nevnt foran. 8 ) Forretningen legges ikke fram da den ikke kan ses å ha interesse for spørsmålet om eiendommens grenser i omtvistede områder i fjellet. Bnr. 16 Veibak ble utskilt fra bnr. 4 ved sky ddelingsf orre tning 18. oktober 1926. 9 ).	429:432	0:476	14929	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_277		Den kinoaktuelle James Bond-filmen «Skyfall» har blitt rost opp i skyene av anmelderne, og sto for én av de sterkeste åpningshelgene i Norge så langt i år. For tredje gang spiller britiske Daniel Craig (44) den populaere agenten, men dersom han selv hadde fått velge fritt, hadde han ikke vaert å se i denne filmen. Til magasinet Rolling Stone forteller nemlig Craig at han lenge har forsøkt å komme seg bort fra James Bond-rollen.	91:94	0:429	14931	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_271		Ellers har Rushdie mange intellektuelle støttespillere, som den utadvendte Harold Pinter og den sky Thomas Pynchon. Blant fiendene er Roald Dahl («den digre, uvennlige branden») og John le Carré («Rushdie er et eksempel på kulturell intoleranse som gir seg ut for å vaere ytringsfrihet»).	96:99	0:287	14932	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_2503		De mørke skyene lå som et teppe over Roma hele tirsdagen.	19:22	0:57	14948	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_3373		Det blir mindre vind enn vi har hatt de siste dagene, men ikke så lite at flagget henger rett ned. - Vaeret kunne vaert bedre, men definitivt også mye verre. Bergenserne er vel fornøyd så lenge det ikke er regn, sier Korneliussen. Sludd På Bergens egen «nasjonaldag», 16. mai, blir det pent vaer, før de mørke skyene kommer snikende i løpet av natten. I stedet for å ergre deg over at Sør- og Østlandet blir nasjonaldagens vaervinnere med opp til 18 grader, kan du sende noen varme tanker til Nord-Norge som får en sur feiring i sludd.	63:65	0:531	14950	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_113		Der jog en mørk sky over Ove Munks ansikt: «Jeg skulle få min gode Haettenmann med meg,» sa han unnvikende.	16:19	0:106	14944	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_95		Nytt får vi stål. Endringen blir gjort i stålbrak, ny sky av damp.	54:57	0:66	14943	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_64		Jeg ville stinge ned månen, den gamle edderkopp, som hyller oss inn i sitt drømmespinn av skyer og vind, av skygge og skinn, gyldent måneskinn med sølvhvitt stjernelys vevet inn. Men da jeg kom frem blev jeg satt av vår store moder Natt til å skrive dikt om månen, sålenge den henger i blånen, i himmelblånen, o månen! 205 Skarv, nu er det kveld! Fly til ditt mørke fjell, sett dig under klippehanget og lytt til suset i tanget, dragsugets evige sus som fyller nattens hus.	49:52	0:473	14930	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_20		La ånd fra deg, som sky og ild, / få lede oss den vei du vil.	20:23	0:61	14936	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_59		Her er intet som ikke er fuldkommen skjønt og fuldkommen ét med sin tanke, den som gjorde det brunt eller gråt eller grønt, den som lot det bli f jeld eller ranke. 137 Og her ligger den ensomme andrik på vakt som den lå her fra tidernes morgen. O så stum og så sky får den likevel sagt at den ligger og venter på våren!	261:264	0:319	14941	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_499		- Det er et veldig kupert område og skyene ligger tett ned på fjellet i dag. Det er ingen optimal dag for flyging, sier Hansen til adressa.no.	36:42	0:142	14945	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_4546		Drøm deg bort, men vit hva du vil! Det hjelper ikke å eie ei fantastisk hytte hvis økonomiske bekymringer henger over gresstaket som ei tung sky. NTB Scanpix/Shutterstock Fritidsboliger er først og fremst en investering i livskvalitet.	141:144	0:235	14942	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_1508		Før den tid er publikum og arrangører opptatt av vaerutviklingen de neste dagene. Tirsdagen startet med skyer og regn, men det klarnet opp utover dagen, og det er meldt oppholdsvaer på de store utekonsertene på Romsdalsmuseet onsdag og torsdag.	103:108	0:242	14947	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_519		Skyene spilte i regnbuens farger.	0:6	0:33	14940	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_81		Det er en besynderlig tilstand å vaere så knyttet til livet og samtidig så faerdig med det. Jeg har en følelse som om det hele plutselig kunde forsvinne likesom en sky - som om vår og høst, sommer og vinter, hele jorden var et syn! Jeg vil ikke belaere noen, jeg forteller bare hvad der skjer med mig seiv mens jeg søker.	162:165	0:318	14933	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_10		Her gir du oss i vin og brød / ditt eget liv, ditt blod og kjød, / og gjennom dette under / forkynner vi din død på ny / inntil du kommer selv i sky / når livets dag tilstunder! 4 Som du stod opp den tredje dag, / du livets førstegrøde, / skal også vi til Guds behag / stå opp til liv av døde. Enhver som eter dette Lam, / har evig salighet i ham, i og døden ser han ikke. Se, vi skal bo i Sions stad!	145:148	0:401	14935	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_4362		Det fins skyer på himmelen.	9:14	0:27	14949	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_1479		Er egentlig det for mye forlangt? Bak skyene er himmelen alltid blå. Det er i alle fall lov å håpe.	38:44	0:99	14934	nor_dia_change_subset2	no	andrey
sky	NN	2012	2012-2019	2012-2019_sky_1025		Fra toppen er det utsikt til alle bydeler med unntak av Arna. Forutsatt at ikke skyene kommer og klusser det til, selvfølgelig. Det ser ikke så halvgale ut. Selv om regnet øser ned tirsdag formiddag, er det faktisk mulighet for opplett akkurat idet vi går inn i det nye året. En høytrykksrygg klarer akkurat å skvise seg inn mellom to lavtrykk, og kan sette regnvaeret på vent til rakettoppskytingen er ferdig.	101:104	0:409	14937	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_72		Den som blir årsaken til Jims fall er banditten Brown. Da man ser denne veldige kjeltring og tyveknekt tone op i landskapet med sitt stjålne fartøi og sin gjeng av forsultne gudsforgående knekter er det som der går en mektig sky for solen og som om jorden visnet ned i den virkelige dødens skygge. Da forstår man at nu er der intet utenom mere!	225:228	0:344	14946	nor_dia_change_subset2	no	andrey
sky	NN	1980	1980-1990	1980-1990_sky_112		Nettopp dette, at også han satt der så taus - han, der i alt annet hadde et godmodig ord tilsist - det gjorde luften trykkende tung som før tordenvaer, syntes hun - når skyene bunker seg, og andedrettet besvaeres.	20:22	0:211	14938	nor_dia_change_subset2	no	andrey
