lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
spill	NN	2012	2012-2019	2012-2019_spill_45731		Også på brettet har Carlsens spill variert.	29:34	0:43	15002	nor_dia_change_subset2	no	andrey
spill	NN	1980	1980-1990	1980-1990_spill_417		En slik løsning er derfor trusselpunktet ved forhandlinger som foregår forut for dannelsen av husholdningen, - og ved oppløsningen av husholdningen; enten oppløsningen skjer som følge av et kooperativt - eller et ikkekooperativt spill.	229:234	0:235	14996	nor_dia_change_subset2	no	andrey
spill	NN	2012	2012-2019	2012-2019_spill_9390		- Polarcus er et rent spill på kontraktrater.	22:27	0:45	15006	nor_dia_change_subset2	no	andrey
spill	NN	1980	1980-1990	1980-1990_spill_599		Samvirkeorganisasjonene blir trukket inn i et spill hvor det er snakk om å tilpasse seg grunnleggende nye rammebetingelser.	46:51	0:123	15014	nor_dia_change_subset2	no	andrey
spill	NN	1980	1980-1990	1980-1990_spill_549		Pateren løftet awergende sin velformede hand: «Ti! - Paulatim longius itur. Og blir du ligervis dine brødre Guds forakter på jorden, da husk den evige pines glør,» og han så funklende ned på jomfruen, hvem vin og spill hadde malt sterke roser i kinnene - hvilket i forening med hårets viltre krøller og den grønne silkekjortel gav henne et übehersket, men tillike saert preg; hun stod da også og fingret med sitt belte, så spennen brast «Er De ferdig med Deres tale, kan jeg vel gå,» sa hun trossig; idet hun gjorde mine til å fjerne seg, vendte hun hodet halvt: «Jeg liker bedre å le med riddere enn gråte med munker.» «Vent!» ropte pater Sylfest og stilte seg iveien for henne - «Gudfader og alle helgener vaere din gjenstridige sjel nådig,» bad han beveget, «hvor du spotter Herren, hvor du legger sten til røysen.» Jomfuen trodde å se hans øyne sortne av nidkjaerhet. «Slipp meg frem, kjaere pater,» overtalte hun plutselig og berørte ham lett.	213:218	0:944	15008	nor_dia_change_subset2	no	andrey
spill	NN	2012	2012-2019	2012-2019_spill_22770		Tre sett skuespillere spiller barna i huset, og to sett spiller foreldrene.	13:20	0:75	15005	nor_dia_change_subset2	no	andrey
spill	NN	2012	2012-2019	2012-2019_spill_56563		- Det var ikke veldig enkelt å takke ja. Jeg har aldri vaert med så kort tid før, så det er interessant å se hvordan man kan påvirke garderoben på så få dager. I tillegg er det moderklubben min. Om ikke hadde jeg aldri gjort det, innrømmer han. For mannen med hjertet i klubben er smertelig klar over hva som står på spill når gamleklubben Start venter på motsatt banehalvdel førstkommende lørdag og neste onsdag.	316:321	0:412	15009	nor_dia_change_subset2	no	andrey
spill	NN	2012	2012-2019	2012-2019_spill_35529		Men det så ikke bra da Damien Delaney fant James McArthur etter 66 minutter, spillet var vakkert og avslutningen til midtbanespilleren var utsøkt: 1-1. Men så viste klasse seg til slutt, da alle var slitne. Paul Pogba kom seg løs fra sin opp-passer, slo en blindpasning gjennom til Zlatan Ibrahimovic, som sendte ballen i mål bak Wayne Hennessey - og dermed tre poeng til Manchester United.	77:84	0:390	14998	nor_dia_change_subset2	no	andrey
spill	NN	1980	1980-1990	1980-1990_spill_581		Det het her at pressefriheten sto på spill.	37:42	0:43	15011	nor_dia_change_subset2	no	andrey
spill	NN	1980	1980-1990	1980-1990_spill_198		Bakgrunnen fra statlige myndigheters side for den generelle gjennomgang av rammebetingelsene både for statlige spill og private lotterier var den sterke ekspansjonen på lotterimarkedet totalt sett i løpet av 1987/88 ved igangsettelse av nye spill, lotteriformer, gevinstyper m.v.	111:116	0:279	15015	nor_dia_change_subset2	no	andrey
