identifier1	identifier2	annotator	judgment	comment	lemma
13404	13411	HelleBol	4	comment	damp
13404	13397	HelleBol	4	comment	damp
13404	13401	titare	4	comment	damp
13404	13398	HelleBol	4	comment	damp
13404	13411	alexandra_w	4	comment	damp
13404	13401	alexandra_w	4	comment	damp
13404	13397	titare	3	comment	damp
13404	13403	alexandra_w	1	comment	damp
13404	13417	titare	4	comment	damp
13404	13402	titare	4	comment	damp
13404	13402	alexandra_w	3	comment	damp
13404	13413	alexandra_w	4	comment	damp
13404	13400	titare	1	comment	damp
13404	13399	titare	4	comment	damp
13404	13413	titare	4	comment	damp
13404	13397	alexandra_w	4	comment	damp
13404	13410	HelleBol	4	comment	damp
13404	13418	alexandra_w	4	comment	damp
13404	13408	HelleBol	2	comment	damp
13410	13404	titare	4	comment	damp
13410	13397	alexandra_w	4	comment	damp
13410	13397	titare	4	comment	damp
13410	13412	HelleBol	0	comment	damp
13410	13399	titare	4	comment	damp
13410	13397	HelleBol	4	comment	damp
13410	13402	titare	4	comment	damp
13410	13411	HelleBol	4	comment	damp
13410	13398	titare	4	comment	damp
13410	13402	HelleBol	4	comment	damp
13410	13406	titare	1	comment	damp
13410	13401	HelleBol	4	comment	damp
13410	13405	alexandra_w	3	comment	damp
13410	13408	HelleBol	2	comment	damp
13410	13416	titare	4	comment	damp
13410	13413	titare	4	comment	damp
13410	13401	titare	4	comment	damp
13410	13407	alexandra_w	4	comment	damp
13410	13402	alexandra_w	4	comment	damp
13412	13414	titare	4	comment	damp
13412	13401	titare	4	comment	damp
13412	13404	titare	4	comment	damp
13412	13413	HelleBol	0	comment	damp
13412	13400	alexandra_w	1	comment	damp
13412	13403	alexandra_w	3	comment	damp
13412	13415	alexandra_w	3	comment	damp
13412	13411	titare	4	comment	damp
13412	13408	alexandra_w	2	comment	damp
13412	13398	alexandra_w	3	comment	damp
13412	13397	titare	4	comment	damp
13412	13402	HelleBol	0	comment	damp
13412	13403	titare	1	comment	damp
13401	13409	alexandra_w	1	comment	damp
13401	13406	titare	1	comment	damp
13401	13414	HelleBol	4	comment	damp
13401	13413	alexandra_w	4	comment	damp
13401	13398	alexandra_w	3	comment	damp
13401	13411	alexandra_w	3	comment	damp
13401	13397	alexandra_w	3	comment	damp
13401	13403	titare	1	comment	damp
13401	13406	alexandra_w	1	comment	damp
13401	13415	titare	4	comment	damp
13401	13411	HelleBol	4	comment	damp
13401	13398	titare	4	comment	damp
13401	13405	HelleBol	0	comment	damp
13401	13400	alexandra_w	1	comment	damp
13398	13408	HelleBol	2	comment	damp
13398	13402	titare	4	comment	damp
13398	13417	HelleBol	4	comment	damp
13398	13408	titare	1	comment	damp
13398	13402	HelleBol	4	comment	damp
13398	13404	titare	4	comment	damp
13398	13400	titare	1	comment	damp
