identifier1	identifier2	annotator	judgment	comment	lemma
15076	15068	alexandra_w	4	comment	bank
15076	15067	titare	4	comment	bank
15076	15064	titare	4	comment	bank
15076	15078	titare	4	comment	bank
15076	15059	titare	4	comment	bank
15076	15065	HelleBol	4	comment	bank
15076	15072	alexandra_w	4	comment	bank
15076	15057	alexandra_w	4	comment	bank
15076	15057	titare	4	comment	bank
15076	15073	HelleBol	4	comment	bank
15076	15070	titare	4	comment	bank
15076	15070	alexandra_w	4	comment	bank
15076	15061	alexandra_w	4	comment	bank
15076	15070	HelleBol	4	comment	bank
15076	15071	alexandra_w	4	comment	bank
15076	15067	HelleBol	4	comment	bank
15062	15073	alexandra_w	4	comment	bank
15062	15057	alexandra_w	4	comment	bank
15062	15067	alexandra_w	4	comment	bank
15062	15068	HelleBol	4	comment	bank
15062	15072	titare	4	comment	bank
15062	15059	titare	4	comment	bank
15062	15057	titare	4	comment	bank
15062	15060	alexandra_w	4	comment	bank
15062	15066	titare	4	comment	bank
15062	15069	alexandra_w	4	comment	bank
15062	15072	alexandra_w	4	comment	bank
15062	15072	HelleBol	4	comment	bank
15062	15064	alexandra_w	4	comment	bank
15071	15064	alexandra_w	4	comment	bank
15071	15062	titare	4	comment	bank
15071	15067	HelleBol	4	comment	bank
15071	15061	HelleBol	4	comment	bank
15071	15062	alexandra_w	4	comment	bank
15071	15068	titare	4	comment	bank
15071	15065	alexandra_w	4	comment	bank
15071	15064	titare	4	comment	bank
15071	15062	HelleBol	4	comment	bank
15071	15074	alexandra_w	4	comment	bank
15071	15075	titare	4	comment	bank
15071	15075	alexandra_w	4	comment	bank
15071	15061	titare	4	comment	bank
15071	15064	HelleBol	4	comment	bank
15071	15069	titare	4	comment	bank
15071	15057	HelleBol	4	comment	bank
15071	15073	HelleBol	4	comment	bank
15071	15059	HelleBol	4	comment	bank
15072	15065	alexandra_w	4	comment	bank
15072	15071	titare	4	comment	bank
15072	15075	titare	4	comment	bank
15072	15058	titare	4	comment	bank
15072	15060	HelleBol	4	comment	bank
15072	15070	HelleBol	4	comment	bank
15072	15078	alexandra_w	4	comment	bank
15072	15059	alexandra_w	4	comment	bank
15072	15069	HelleBol	4	comment	bank
15072	15066	titare	4	comment	bank
15072	15058	alexandra_w	4	comment	bank
15072	15078	HelleBol	4	comment	bank
15072	15076	HelleBol	4	comment	bank
15072	15074	titare	4	comment	bank
15072	15076	titare	4	comment	bank
15072	15060	alexandra_w	4	comment	bank
15072	15069	titare	4	comment	bank
15067	15068	titare	4	comment	bank
15067	15074	titare	4	comment	bank
15067	15072	titare	4	comment	bank
15067	15058	HelleBol	4	comment	bank
15067	15063	HelleBol	4	comment	bank
15067	15061	titare	4	comment	bank
15067	15060	HelleBol	4	comment	bank
15067	15071	titare	4	comment	bank
15067	15059	alexandra_w	4	comment	bank
15067	15062	HelleBol	4	comment	bank
15067	15077	alexandra_w	4	comment	bank
15067	15057	alexandra_w	4	comment	bank
15067	15074	alexandra_w	4	comment	bank
15067	15072	HelleBol	4	comment	bank
15074	15059	alexandra_w	4	comment	bank
15074	15073	titare	4	comment	bank
15074	15076	titare	4	comment	bank
15074	15065	HelleBol	4	comment	bank
15074	15063	alexandra_w	4	comment	bank
15074	15071	HelleBol	4	comment	bank
15074	15062	titare	4	comment	bank
15074	15073	HelleBol	4	comment	bank
15074	15071	titare	4	comment	bank
15074	15076	alexandra_w	4	comment	bank
15074	15077	titare	4	comment	bank
15074	15069	HelleBol	4	comment	bank
15074	15072	HelleBol	4	comment	bank
15074	15076	HelleBol	4	comment	bank
15074	15067	HelleBol	4	comment	bank
15074	15073	alexandra_w	4	comment	bank
15074	15068	alexandra_w	4	comment	bank
15074	15060	alexandra_w	4	comment	bank
15074	15077	alexandra_w	4	comment	bank
15074	15061	alexandra_w	4	comment	bank
15068	15067	alexandra_w	4	comment	bank
15068	15078	HelleBol	4	comment	bank
15068	15057	alexandra_w	4	comment	bank
15068	15075	titare	4	comment	bank
15068	15065	titare	4	comment	bank
15068	15061	HelleBol	4	comment	bank
15068	15057	HelleBol	4	comment	bank
15068	15074	titare	4	comment	bank
15068	15069	HelleBol	4	comment	bank
15068	15062	titare	4	comment	bank
15068	15076	HelleBol	4	comment	bank
15068	15063	alexandra_w	4	comment	bank
15068	15075	HelleBol	4	comment	bank
15068	15062	alexandra_w	4	comment	bank
15068	15059	alexandra_w	4	comment	bank
15068	15073	alexandra_w	4	comment	bank
