identifier1	identifier2	annotator	judgment	comment	lemma
13807	13809	HelleBol	4	comment	kart
13807	13794	alexandra_w	4	comment	kart
13807	13810	HelleBol	4	comment	kart
13807	13796	HelleBol	4	comment	kart
13807	13811	alexandra_w	4	comment	kart
13807	13791	titare	4	comment	kart
13807	13793	HelleBol	4	comment	kart
13807	13802	titare	4	comment	kart
13807	13791	alexandra_w	4	comment	kart
13807	13792	alexandra_w	4	comment	kart
13807	13798	HelleBol	4	comment	kart
13807	13803	alexandra_w	4	comment	kart
13807	13806	titare	4	comment	kart
13807	13808	titare	4	comment	kart
13794	13808	alexandra_w	4	comment	kart
13794	13811	alexandra_w	4	comment	kart
13794	13792	alexandra_w	4	comment	kart
13794	13793	alexandra_w	4	comment	kart
13794	13807	titare	4	comment	kart
13794	13809	alexandra_w	4	comment	kart
13794	13801	HelleBol	4	comment	kart
13794	13800	titare	4	comment	kart
13794	13798	titare	4	comment	kart
13794	13806	titare	4	comment	kart
13794	13812	HelleBol	4	comment	kart
13794	13800	alexandra_w	1	comment	kart
13794	13810	HelleBol	4	comment	kart
13794	13803	titare	4	comment	kart
13794	13812	alexandra_w	4	comment	kart
13794	13808	titare	4	comment	kart
13794	13807	HelleBol	4	comment	kart
13794	13809	titare	4	comment	kart
13794	13801	alexandra_w	4	comment	kart
13812	13791	HelleBol	4	comment	kart
13812	13793	titare	4	comment	kart
13812	13800	alexandra_w	1	comment	kart
13812	13796	alexandra_w	4	comment	kart
13812	13811	HelleBol	4	comment	kart
13812	13799	alexandra_w	4	comment	kart
13812	13803	titare	4	comment	kart
13812	13811	titare	4	comment	kart
13812	13806	alexandra_w	4	comment	kart
13812	13803	alexandra_w	4	comment	kart
13812	13808	titare	4	comment	kart
13812	13791	alexandra_w	4	comment	kart
13812	13794	titare	4	comment	kart
13791	13797	alexandra_w	4	comment	kart
13791	13809	alexandra_w	4	comment	kart
13791	13803	titare	4	comment	kart
13791	13800	titare	4	comment	kart
13791	13802	HelleBol	4	comment	kart
13791	13795	titare	4	comment	kart
13791	13794	titare	4	comment	kart
13791	13794	alexandra_w	4	comment	kart
13791	13796	alexandra_w	4	comment	kart
13791	13799	alexandra_w	4	comment	kart
13791	13808	titare	4	comment	kart
13791	13797	HelleBol	4	comment	kart
13791	13803	HelleBol	4	comment	kart
13791	13801	titare	4	comment	kart
13806	13804	HelleBol	4	comment	kart
13806	13808	titare	4	comment	kart
13806	13796	alexandra_w	4	comment	kart
13806	13802	HelleBol	4	comment	kart
13806	13805	HelleBol	4	comment	kart
13806	13793	alexandra_w	4	comment	kart
13806	13794	alexandra_w	4	comment	kart
13806	13791	HelleBol	4	comment	kart
13806	13804	alexandra_w	4	comment	kart
13806	13811	titare	4	comment	kart
13806	13803	HelleBol	4	comment	kart
13806	13812	HelleBol	4	comment	kart
13806	13808	alexandra_w	4	comment	kart
13806	13799	HelleBol	4	comment	kart
13806	13800	titare	4	comment	kart
13805	13803	titare	4	comment	kart
13805	13795	HelleBol	4	comment	kart
13805	13795	alexandra_w	4	comment	kart
13805	13792	alexandra_w	4	comment	kart
13805	13793	alexandra_w	4	comment	kart
13805	13796	titare	4	comment	kart
13805	13796	alexandra_w	4	comment	kart
13805	13810	HelleBol	4	comment	kart
13805	13810	alexandra_w	4	comment	kart
13805	13812	titare	4	comment	kart
13805	13809	titare	4	comment	kart
13805	13809	HelleBol	4	comment	kart
13805	13799	alexandra_w	4	comment	kart
13805	13798	alexandra_w	4	comment	kart
13805	13810	titare	4	comment	kart
13805	13794	titare	4	comment	kart
13793	13811	alexandra_w	4	comment	kart
13793	13794	HelleBol	4	comment	kart
13793	13799	alexandra_w	4	comment	kart
13793	13807	alexandra_w	4	comment	kart
13793	13810	alexandra_w	4	comment	kart
13793	13804	alexandra_w	4	comment	kart
13793	13808	alexandra_w	4	comment	kart
13793	13800	titare	4	comment	kart
13793	13802	alexandra_w	4	comment	kart
13793	13792	titare	4	comment	kart
13793	13791	HelleBol	4	comment	kart
13793	13810	HelleBol	4	comment	kart
13793	13812	HelleBol	4	comment	kart
13793	13797	titare	4	comment	kart
13793	13800	HelleBol	4	comment	kart
13793	13791	alexandra_w	4	comment	kart
13793	13805	HelleBol	4	comment	kart
13802	13805	alexandra_w	4	comment	kart
13802	13801	titare	4	comment	kart
13802	13805	HelleBol	4	comment	kart
13802	13795	titare	4	comment	kart
13802	13799	HelleBol	4	comment	kart
13802	13807	alexandra_w	4	comment	kart
13802	13810	HelleBol	4	comment	kart
13802	13791	alexandra_w	4	comment	kart
13802	13793	titare	4	comment	kart
13802	13804	HelleBol	0	comment	kart
13802	13800	alexandra_w	1	comment	kart
13802	13806	alexandra_w	4	comment	kart
13802	13792	titare	4	comment	kart
13802	13800	HelleBol	4	comment	kart
13802	13796	titare	4	comment	kart
13802	13795	alexandra_w	4	comment	kart
13802	13792	alexandra_w	4	comment	kart
13802	13807	HelleBol	4	comment	kart
13802	13812	alexandra_w	4	comment	kart
13796	13806	HelleBol	4	comment	kart
13796	13802	alexandra_w	4	comment	kart
13796	13809	titare	4	comment	kart
13796	13812	HelleBol	4	comment	kart
13796	13803	alexandra_w	4	comment	kart
13796	13807	titare	4	comment	kart
13796	13805	HelleBol	4	comment	kart
13796	13811	alexandra_w	4	comment	kart
13796	13803	titare	4	comment	kart
13796	13794	alexandra_w	4	comment	kart
13796	13798	HelleBol	4	comment	kart
13809	13796	alexandra_w	4	comment	kart
13809	13802	alexandra_w	4	comment	kart
13809	13799	HelleBol	4	comment	kart
13809	13801	alexandra_w	4	comment	kart
13809	13800	alexandra_w	1	comment	kart
13809	13806	titare	4	comment	kart
13809	13807	titare	4	comment	kart
13809	13802	HelleBol	4	comment	kart
13809	13801	HelleBol	4	comment	kart
13809	13797	alexandra_w	4	comment	kart
13809	13798	alexandra_w	4	comment	kart
13809	13807	alexandra_w	4	comment	kart
13809	13795	titare	4	comment	kart
13809	13804	titare	4	comment	kart
13809	13806	alexandra_w	4	comment	kart
13809	13793	alexandra_w	4	comment	kart
13809	13811	HelleBol	4	comment	kart
13811	13798	alexandra_w	4	comment	kart
13811	13805	alexandra_w	4	comment	kart
13811	13797	alexandra_w	4	comment	kart
13811	13808	alexandra_w	4	comment	kart
13811	13810	HelleBol	4	comment	kart
13811	13800	alexandra_w	1	comment	kart
13811	13792	alexandra_w	4	comment	kart
13811	13803	alexandra_w	4	comment	kart
13811	13805	titare	4	comment	kart
13811	13792	titare	4	comment	kart
13811	13809	titare	4	comment	kart
13811	13801	alexandra_w	4	comment	kart
13795	13797	alexandra_w	4	comment	kart
13795	13800	alexandra_w	1	comment	kart
13795	13796	alexandra_w	4	comment	kart
13795	13801	HelleBol	4	comment	kart
13795	13799	HelleBol	4	comment	kart
13795	13796	titare	4	comment	kart
13795	13794	alexandra_w	4	comment	kart
13795	13792	titare	4	comment	kart
13795	13811	titare	4	comment	kart
13795	13807	HelleBol	4	comment	kart
13795	13812	titare	4	comment	kart
13795	13812	HelleBol	4	comment	kart
13795	13808	HelleBol	4	comment	kart
13795	13812	alexandra_w	4	comment	kart
13795	13806	titare	4	comment	kart
13795	13804	HelleBol	4	comment	kart
13795	13791	HelleBol	4	comment	kart
13795	13809	alexandra_w	4	comment	kart
13795	13810	alexandra_w	4	comment	kart
13795	13805	titare	4	comment	kart
13798	13791	titare	4	comment	kart
13798	13812	alexandra_w	4	comment	kart
13798	13801	HelleBol	4	comment	kart
13798	13797	alexandra_w	4	comment	kart
13798	13792	HelleBol	4	comment	kart
13798	13807	alexandra_w	4	comment	kart
13798	13804	alexandra_w	4	comment	kart
13798	13802	alexandra_w	4	comment	kart
13798	13808	HelleBol	4	comment	kart
13798	13796	titare	4	comment	kart
13798	13806	alexandra_w	4	comment	kart
13798	13808	titare	4	comment	kart
13798	13805	HelleBol	4	comment	kart
13801	13798	alexandra_w	4	comment	kart
13801	13791	alexandra_w	4	comment	kart
13801	13795	titare	4	comment	kart
13801	13798	titare	4	comment	kart
13801	13795	alexandra_w	4	comment	kart
13801	13792	alexandra_w	4	comment	kart
13801	13796	alexandra_w	4	comment	kart
13801	13806	alexandra_w	4	comment	kart
13801	13804	alexandra_w	4	comment	kart
13801	13792	titare	4	comment	kart
13801	13800	alexandra_w	4	comment	kart
13803	13798	HelleBol	4	comment	kart
13803	13801	HelleBol	4	comment	kart
13803	13799	titare	4	comment	kart
13803	13809	HelleBol	4	comment	kart
13803	13802	HelleBol	4	comment	kart
13803	13805	alexandra_w	4	comment	kart
13803	13795	alexandra_w	4	comment	kart
13803	13807	titare	4	comment	kart
13803	13802	titare	4	comment	kart
13803	13801	titare	4	comment	kart
13803	13809	alexandra_w	4	comment	kart
13803	13800	titare	4	comment	kart
13803	13794	HelleBol	4	comment	kart
13803	13810	alexandra_w	4	comment	kart
13803	13798	alexandra_w	4	comment	kart
13803	13801	alexandra_w	4	comment	kart
13808	13798	alexandra_w	4	comment	kart
13808	13802	HelleBol	4	comment	kart
13808	13799	alexandra_w	4	comment	kart
13808	13810	HelleBol	4	comment	kart
13808	13802	alexandra_w	4	comment	kart
13808	13801	alexandra_w	4	comment	kart
13808	13796	alexandra_w	4	comment	kart
13808	13803	alexandra_w	0	comment	kart
13808	13797	alexandra_w	4	comment	kart
13808	13809	titare	4	comment	kart
13808	13807	alexandra_w	4	comment	kart
13808	13810	alexandra_w	4	comment	kart
13808	13812	alexandra_w	3	comment	kart
13808	13811	titare	4	comment	kart
13808	13800	HelleBol	4	comment	kart
13810	13801	titare	4	comment	kart
13810	13808	titare	4	comment	kart
13810	13806	titare	4	comment	kart
13810	13807	titare	4	comment	kart
13810	13800	HelleBol	4	comment	kart
13810	13803	titare	4	comment	kart
13810	13804	HelleBol	4	comment	kart
13810	13798	alexandra_w	4	comment	kart
13810	13799	HelleBol	4	comment	kart
13810	13809	alexandra_w	4	comment	kart
13810	13791	alexandra_w	4	comment	kart
13810	13796	titare	4	comment	kart
13810	13804	alexandra_w	4	comment	kart
13792	13793	alexandra_w	4	comment	kart
13792	13794	titare	4	comment	kart
13792	13809	alexandra_w	4	comment	kart
13792	13802	HelleBol	4	comment	kart
13792	13812	HelleBol	4	comment	kart
13792	13807	titare	4	comment	kart
13792	13794	HelleBol	4	comment	kart
13792	13793	HelleBol	4	comment	kart
13792	13804	alexandra_w	4	comment	kart
13792	13809	HelleBol	4	comment	kart
13792	13795	alexandra_w	4	comment	kart
13792	13796	alexandra_w	4	comment	kart
13792	13806	HelleBol	4	comment	kart
13792	13806	titare	4	comment	kart
13792	13800	titare	4	comment	kart
13792	13799	HelleBol	4	comment	kart
13792	13810	HelleBol	4	comment	kart
13792	13796	HelleBol	4	comment	kart
13792	13808	alexandra_w	4	comment	kart
13797	13793	HelleBol	4	comment	kart
13797	13792	alexandra_w	4	comment	kart
13797	13795	titare	4	comment	kart
13797	13808	HelleBol	4	comment	kart
13797	13800	titare	4	comment	kart
13797	13793	alexandra_w	4	comment	kart
13797	13806	alexandra_w	4	comment	kart
13797	13811	HelleBol	4	comment	kart
13797	13804	HelleBol	4	comment	kart
13797	13810	HelleBol	4	comment	kart
13797	13811	titare	4	comment	kart
13797	13803	HelleBol	4	comment	kart
13797	13802	HelleBol	4	comment	kart
13797	13799	HelleBol	4	comment	kart
13797	13791	titare	4	comment	kart
13797	13803	alexandra_w	4	comment	kart
13797	13812	alexandra_w	4	comment	kart
13797	13805	alexandra_w	4	comment	kart
13799	13804	titare	4	comment	kart
13799	13812	titare	4	comment	kart
13799	13808	titare	4	comment	kart
13799	13797	titare	4	comment	kart
13799	13808	HelleBol	4	comment	kart
13799	13804	alexandra_w	4	comment	kart
13799	13812	HelleBol	4	comment	kart
13799	13791	titare	4	comment	kart
13799	13809	titare	4	comment	kart
13799	13796	HelleBol	4	comment	kart
13799	13798	alexandra_w	4	comment	kart
13799	13800	titare	4	comment	kart
13799	13807	titare	4	comment	kart
13799	13797	alexandra_w	4	comment	kart
13799	13803	HelleBol	4	comment	kart
13799	13801	titare	4	comment	kart
13799	13794	alexandra_w	4	comment	kart
13799	13810	alexandra_w	4	comment	kart
13799	13811	alexandra_w	4	comment	kart
13800	13792	alexandra_w	1	comment	kart
13800	13807	titare	4	comment	kart
13800	13794	HelleBol	4	comment	kart
13800	13796	titare	4	comment	kart
13800	13806	HelleBol	4	comment	kart
13800	13798	HelleBol	4	comment	kart
13800	13798	alexandra_w	1	comment	kart
13800	13798	titare	4	comment	kart
13800	13796	HelleBol	4	comment	kart
13800	13802	titare	4	comment	kart
13800	13806	alexandra_w	1	comment	kart
13800	13812	titare	4	comment	kart
13804	13803	HelleBol	4	comment	kart
13804	13807	titare	4	comment	kart
13804	13793	HelleBol	4	comment	kart
13804	13800	HelleBol	4	comment	kart
13804	13812	HelleBol	4	comment	kart
13804	13806	titare	4	comment	kart
13804	13808	HelleBol	4	comment	kart
13804	13799	HelleBol	4	comment	kart
13804	13802	alexandra_w	4	comment	kart
13804	13798	HelleBol	4	comment	kart
13804	13797	alexandra_w	4	comment	kart
13804	13811	alexandra_w	4	comment	kart
13804	13797	titare	4	comment	kart
13804	13808	alexandra_w	4	comment	kart
13804	13809	alexandra_w	4	comment	kart
13804	13796	alexandra_w	4	comment	kart
13804	13801	HelleBol	4	comment	kart
13804	13807	alexandra_w	4	comment	kart
13804	13805	alexandra_w	4	comment	kart
13804	13791	alexandra_w	4	comment	kart
13804	13812	titare	4	comment	kart
13804	13793	titare	4	comment	kart
